date,URL,Title,Narrative,Statement,Label
"Februari 20, 2023",https://turnbackhoax.id/2023/02/20/salah-rudal-rusia-hancurkan-apartemen-di-new-york/,[SALAH] Rudal Rusia Hancurkan Apartemen di New York,"Channel YouTube DUNIA BERITA (https://www.youtube.com/@duniaberita2029) pada 19 Februari 2023 mengunggah video dengan klaim bahwa sebuah apartemen di New York runtuh akibat serangan rudal Rusia. Lebih lanjut, pihak berwenang Amerika mengatakan jika harapan untuk menyelamatkan lebih banyak warganya dari puing-puing blok apartemen itu kian menipis.
Setelah dilakukan penelusuran, faktanya narasi yang dibacakan dalam unggahan tersebut merupakan hasil suntingan dari 2 sumber artikel yang berbeda.
Pada awal video yang menyebutkan bahwa rudal Rusia berhasil menghancurkan apartemen di New York dan menewaskan setidaknya 30 orang warga sipil merupakan hasil suntingan dari laman website okezone (https://news.okezone.com/) yang telah diunggah pada 16 Januari 2023. Dalam artikel asli berjudul “Serangan Rudal Rusia Hantam Apartemen Dnipro, 30 Orang Meninggal dan 75 Terluka” tertulis bahwa rudal Rusia berhasil menghancurkan blok apartemen Dnipro di Ukraina dan menewaskan seorang gadis berusia 9 tahun, bukan menghancurkan sebuah apartemen di New York dan menewaskan seorang gadis berusia 15 tahun seperti yang disebutkan pada narasi video.
Selain itu, terdapat artikel milik CNBC Indonesia yang juga dibaca ulang oleh narator. Dalam artikel berjudul “Amerika Minta Warganya Segera Tinggalkan Rusia, Ada Apa?” yang telah diunggah pada 14 Februari 2023 itu tertulis bahwa pihak Amerika menyebut ada risiko penangkapan sewenang-wenang atau pelecehan oleh lembaga penegak hukum terhadap warganya yang sedang berada di Rusia.","SITUASI MENCEKAM!!SERANGAN SUSULAN RUSIA PANGGANG WARGA AMERIKA, PUTIN MURKA LAKUKAN INI!!",1
"Februari 11, 2023",https://turnbackhoax.id/2023/02/11/salah-rudal-indonesia-hancurkan-tentara-dan-senjata-australia/,[SALAH] Rudal Indonesia Hancurkan Tentara dan Senjata Australia,"Channel YouTube Dunia Berita (https://www.youtube.com/@duniaberita2029) pada 7 Februari 2023 mengunggah video dengan klaim bahwa Indonesia berhasil membantai 73 pasukan Australia menggunakan serangan meriam dan artileri yang difokuskan ke wilayah vital di Australia. Selain membantai 73 pasukan Australia, serangan Indonesia itu juga menghancurkan sejumlah kiriman senjata dari Malaysia. Melalui narasi video diketahui bahwa kota-kota di Australia, termasuk Ibukota Canberra, telah dihujani oleh serangan Indonesia. Adanya serangan dari Indonesia terhadap Australia ini disebabkan karena Indonesia murka lantaran Australia tidak menyerah terkait dengan isu Pulau Pasir.
Setelah dilakukan penelusuran, faktanya narasi yang dibacakan dalam unggahan tersebut merupakan hasil suntingan karena narator hanya membaca ulang artikel milikviva.co.id(https://www.viva.co.id/) dengan mengubah subjek yang diberitakan. Artikel asli dengan judul “Rudal Rusia Bantai 73 Tentara Ukraina, Senjata Amerika","TNI LUNCURKAN LUSINAN RUDAL BANTAI TENTARA AUSTRALIA, HINGGA SENJATA BANTUAN MALAYSIA JADI RONGSOKAN",1
"Januari 22, 2023",https://turnbackhoax.id/2023/01/22/salah-indonesia-vs-australia-pecah-indonesia-lancarkan-serangan-ke-garda-terdepan-australia/,[SALAH] Indonesia Vs Australia Pecah!!! Indonesia Lancarkan Serangan Ke Garda Terdepan Australia,"Sebuah akun Facebook membagikan video yang diklaim Indonesia melakukan serangan ke Australia. Video itu berisi cuplikan-cuplikan video peperangan yang mengakibatkan kerusakan. Pengunggah menyebutkan Indonesia melakukan serangan setelah kalah perang di Canberra.
Narasi dalam video hasil manipulasi teks berita CNN Indonesia dengan judul “Rusia Serang Balik Ukraina Habis-habisan usai Dibuat K.O di Kharkiv.” Pengunggah mengganti kata ‘Rusia’ menjadi ‘Indonesia’ serta kata ‘Ukraina’ menjadi ‘Australia’.
Setelah ditelusuri menggunakan pencarian Yandex, video-video yang ditampilkan adalah cuplikan video dari sumber yang berbeda. Di antaranya video detik-detik proklamasi 17 Agustus di Surabaya pada tahun 2016, video latihan tentara Malaysia pada tahun 2016-2018 di Lapangsasar Kem Gemas, video Rusia membombardir markas Ukraina di Soledar dan video kebakaran area depot minyak di Bryanks Rusia.
Pengunggah menggabungkan video-video tersebut ke dalam satu video berdurasi 8 menit disertai dengan narasi yang tidak benar.",TERKINI !!INDONESIA VS AUSTRALIA PECAHH!! INDONESIA LANCARKAN SERANGAN KE GARDA TERDEPAN AUSTRALIA !! NKRI HARGA MATI !! Sumber : Facebookhttps://archive.cob.web.id/archive/1673643218.466774/singlefile.html,1
"Januari 18, 2023",https://turnbackhoax.id/2023/01/18/erdogan-turun-tangan-turki-luncurkan-ribuan-pasukan-untuk-bantu-tni-rusia-kuasai-pulau-pasir/,[SALAH] ERDOGAN TURUN TANGAN…!!! TURKI LUNCURKAN RIBUAN PASUKAN UNTUK BANTU TNI-RUSIA KUASAI PULAU PASIR,"Akun Youtube DINDING PERTAHANAN mengunggah video pada tanggal 21 Desember 2022 dengan judul “ERDOGAN TURUN TANGAN…!!! TURKI LUNCURKAN RIBUAN PASUKAN UNTUK BANTU TNI-RUSIA KUASI PULAU PASIR”. Video menunjukkan bebrapa cuplikan video kapal perang laut Turki, penembakan senjata jalur udara dan darat.
Penelusuran menunjukkan bahwa video merupakan hasil editan dari beberapa video latihan perang yang disertai dengan narasi yang tidak ada kaitannya dengan bantuan tentara Turki untuk Indonesia dalam melawan Australia untuk menguasai Pulau Pasir.
Video pertama yang dicuplik dalam video adalah video latihan penembakan yang dilakukan oleh Marinir Amerika Serikat menggunakan senjata M-777 Howitzer yang direkam pada 28-30 Mei 20215 di Danau Lavic, Twentynine Palms, California. Video sebenarnya diunggah oleh akun Youtube Gung Ho Vids dengan judul “Marines Battalion Fire Mission • M-777 Howitzer”
Video kedua yang ditampilkan adalah video latihan EFES 2022 yang merupakan latihan angkatan bersenjata skala multinasional yang berada di bawah arahan dan Administrasi Komando Angkatan Darat, Kementerian Pertahanan Negara Turki. Video resmi latihan diunggah di akun Youtube Kementerian Pertahanan Turki “T.C. Millî Savunma Bakanlığı” pada 29 Mei 2022 dengan judul “EFES Tatbikatı Nefes Kesecek!”",ERDOGAN TURUN TANGAN !!! TURKI LUNCURKAN RIBUAN PASUKAN UNTUK BANTU TNI-RUSIA KUASAI PULAU PASIR,1
"Desember 27, 2022",https://turnbackhoax.id/2022/12/27/salah-surat-pemberitahuan-terkait-pemberian-bantuan-akhir-tahun-2022-oleh-kementerian-agama/,[SALAH] Surat Pemberitahuan Terkait Pemberian Bantuan Akhir Tahun 2022 Oleh Kementerian Agama,"Beredar surat pemberitahuan terkait pemberian bantuan akhir tahun 2022 sebesar Rp50 Juta oleh Kemenag. Dalam surat terebut tertulis nama lembaga yang akan mendapatkan bantuan serta mencantumkan nama dan nomor telepon Tri Ashianto Tjahyono, Plt. Wali Kota Bekasi.
Setelah ditelusuri, surat tersebut adalah hoaks. Humas Kota Bekasi melalui akun Instagram resmi @humaskotabekasi mengonfirmasi bahwa tidak ada bantuan tertentu seperti yang tercantum dalam surat yang beredar, juga nomor telepon Plt. Wali Kota Bekasi adalah palsu.","Kepada Yth,Pimpinan Lembaga Penerima BantuanDi Tempat Assalamu alaikum Wr Wb.Berdasarkan Sk Dari Bupati dan Direktur Jenderal Pendidikan Kementerian Agama No 6065 Tahun Anggaran 2022, bahwa yang Bapak/Ibu pimpin mendapatkan Bantuan Anggaran sebesar Rp. 50.000.000 lima puluh juta rupiah sebagaimana terlampir.Nama Lembaga : MASJID AS-SYUHADABantuan digunakan sebagaimana dijelaskan dalam juknis dan Fana Bantuan ini tidak ada apapun. Untuk informasi lebih lanjut dapat menghubungi BNI KOP Kemenag Pusat I Bpk. Dr. H. Tri Adhianto Tjahyono, S.E., m.m. / 089633898700 ) Demikian pemberitahuan ini, atas perhatiannya kami sampaikan terimakasih.Wassalamu alaikum. Wr. Wb",1
"Desember 27, 2022",https://turnbackhoax.id/2022/12/27/salah-gambar-tangkapan-layar-artikel-geloranews-puan-belanja-daging-sapi-di-pasar-dan-bertanya-anda-kenal-saya-pedagang-untuk-apa-saya-kenal-anda/,"[SALAH] Gambar Tangkapan Layar Artikel Geloranews “Puan Belanja Daging Sapi Di Pasar dan bertanya, anda kenal saya? Pedagang: untuk apa saya kenal anda?”","Akun Facebook Ratna Machmud (https://web.facebook.com/ratna.machmud.7) pada 21 Desember 2022 memposting sebuah gambar tangkapan layar artikel Geloranews. Artikel tersebut berjudul “Puan Belanja Daging Sapi Di Pasar dan bertanya, anda kenal saya? Pedagang: untuk apa saya kenal anda?”.
Setelah ditelusuri melalui website Geloranews dengan mengacu pada keterangan tanggal yaitu 28 April 2022 ditemukan artikel asli berjudul “Puan Belanja Daging Sapi di Pasar, Pedagang: Siapa Namanya, Nggak Tahu…”. Terdapat kesamaan antara postingan Facebook dengan artikel asli yang terletak di gambar artikel. Jika dilihat judul pada postingan Facebook dan artikel asli berbeda.","Puan Belanja Daging Sapi Di Pasar dan bertanya, anda kenal saya? Pedagang: untuk apa saya kenal anda? Caption Wartawan paling ada2 saa eeee",1
"Desember 20, 2022",https://turnbackhoax.id/2022/12/20/salah-video-perkumpulan-lgbt-di-sicc-sentul/,[SALAH] “VIDEO PERKUMPULAN LGBT DI SICC SENTUL”,"Melansir dariPortalLebak.com, klaim video yang sempat viral yang bernarasikan bahwa ada perkumpulan LGBT di SICC merupakan berita hoaks. “Video yang beredar tersebut merupakan video kegiatan Miss Grand Internasional 2022 yang digelar sekitar bulan Oktober lalu. Bukan kegiatan kaum LGBT”, menanggapi isu yang berkembang di media sosial Kapolres Bogor AKBP Iman Imanuddin saat dijumpai di Mapolres Bogor, beliau telah membantah adanya perkumpulan LGBT di SICC.
Pada kesempatan ini Indonesia menjadi tuan rumah penyelenggaraan Miss Grand International 2022. Miss Grand International menjadi salah satu kontes kecantikan ternama dunia dengan visi untuk menghentikan perang dan kekerasan. Miss Grand International yang digelar di Indonesia bukan sekadar kontes kecantikan, melainkan juga promosi pariwisata Indonesia.",ASTAGHFIRULLAH Mereka mengundang Azab ALLAH SWT..Para penganut LGBT berkumpul di SICC Sentul Sabtu 10 Des. 2022,1
"November 13, 2022",https://turnbackhoax.id/2022/11/13/salah-video-mengapa-satgasus-dibubarkan-setelah-kasus-sambo-mencuat/,[SALAH] Video “mengapa satgasus dibubarkan setelah kasus Sambo Mencuat?”,"TIDAK berkaitan dengan kasus Ferdy Sambo yang saat ini (2022) masih proses persidangan, video sudah beredar sebelumnya pada tahun 2017 lalu, berkaitan dengan tindakan tegas terhadap bandar narkoba yang melawan saat penangkapan.
Verifikasi Video
Salah satu video yang identik, Iwan Hartono di YouTube pada 18 Apr 2017: “Video dari Iwan Hartono” [2]
Rekaman video lainnya yang meliput acara yang sama, KOMPASTV di YouTube pada 19 Jan 2017: “Kepolisian di ibu kota dan daerah merespon cepat perintah dan pesan tegas Kapolri kepada gembong narkoba di Tanah Air. Hasilnya, tiga bandar besar narkoba tertembak dalam dua hari. Pengungkapan dari ruang jenazah pun merata dilakukan polisi.” [3]
Referensi Lainnya yang Berkaitan
KOMPAS.com pada 6 Jan 2017: “JAKARTA, KOMPAS.com – Kepala Polri Jenderal (Pol) Tito Karnavian menyampaikan rilis pengungkapan kasus narkoba di RS Polri Kramat Jati, Jakarta Timur, Jumat (6/1/2017). Tepatnya, persis di depan Ruang Jenazah yang bersisian dengan Masjid Asy Syifa. Lokasi jumpa pers ini tak biasa. Biasanya, polisi menggelar rilis di Gedung Mabes Polri, Jakarta Selatan.” [4]
detikNews pada 17 Jan 2017: “Jakarta – Kapolri Jenderal Tito Karnavian menegaskan polisi bersama BNN dan TNI akan terus perang terhadap narkoba. Dia mengultimatum para bandar narkoba yang melawan saat penangkapan akan berakhir di kamar jenazah.” [5]
Berkaitan dengan kasus Ferdy Sambo yang saat ini (2022) masih dalam proses persidangan, hasil pencarian Google – News dengan kata kunci “kasus ferdy sambo”",Komentar Kalian gimanaGaes !!? mengapa satgasusdibubarkan setelah kasusSambo Mencuat? Rakyat Menunggu AgarSatgasus Polri BentukanJendal (Purn) Tito KarnavianDiaudit & Diinvestigasi .,1
"Oktober 21, 2022",https://turnbackhoax.id/2022/10/21/salah-video-ini-situasi-terkini-di-as-negara-super-power-yang-menderita-akibat-adanya-resesi-yang-melanda-dunia/,"[SALAH] Video “Ini situasi terkini di AS negara super power yang menderita, akibat adanya resesi yang melanda dunia.”","Akun Twitter dengan nama pengguna “kartarahardja” mengunggah sebuah video yang menunjukkan kondisi di sebuah wilayah kumuh di Amerika Serikat. Unggahan tersebut juga disertai narasi yang menyatakan bahwa kondisi dalam video tersebut merupakan situasi terkini yang dialami Amerika Serikat akibat resesi.
Berdasarkan hasil penelusuran, video tersebut bukan merupakan video situasi terkini di Amerika Serikat. Video tersebut pertama kali diunggah oleh kanal YouTube “Kensington Now” 25 Juli 2022 dengan judul “Walking Kensington Ave K&A [4K]” dan merupakan video kondisi di Kensington Avenue, Philadelphia, dan sama sekali tidak berkaitan dengan resesi. Potongan video yang serupa dapat dilihat pada menit 2:50 hingga 3:37.
Kensington sendiri merupakan salah satu wilayah di Amerika Serikat yang memiliki angka warga tunawisma dan dan pecandu narkoba yang tinggi. Kemiskinan di Kensington merupakan dampak dari bangkrutnya industri lokal pada tahun 1950 hingga 1960-an, serta munculnya kelompok kriminal yang berasal dari imigran Irlandia dan Republik Dominika sejak tahun 1980-an hingga 2000-an.","Ini situasi terkini di AS negara super power yang menderita, akibat adanya resesi yang melanda dunia. Tidak ada yang menggoreng situasi buruk ini untuk kepentingan politik, karena sebagian bangsa yang beradab mereka menganut fatsun politik yang berkeadaban. Beda dengan Kadrun.",1
"Juli 15, 2022",https://turnbackhoax.id/2022/07/15/salah-beberapa-negara-melaksanakan-kebijakan-haji-gratis-berdasarkan-perintah-kesultanan-buton/,[SALAH] Beberapa Negara Melaksanakan Kebijakan Haji Gratis Berdasarkan Perintah Kesultanan Buton,"Beredar sebuah narasi di media sosial Facebook yang mengklaim bahwa beberapa negara di dunia telah membuat kebijakan program haji gratis bagi warganegaranya. Kebijakan ini dikabarkan telah disahkan dan ditandatangani oleh Sultan Buton. Negara-negara yang menerapkan kebijakan ini antara lain, Negara Kesatuan Republik Indonesia, Negara Kerajaan Arab Saudi, Negara Turki, Negara Mesir dan Negara Kerajaan Malasyia.
Namun setelah menelusuri terkait kebijakan progam naik haji gratis, tidak ditemukan keterangan resmi apapun dari negara-negara yang disebutkan di dalam narasi. Di Indonesia sendiri misalnya, program naik haji tetap dijalankan sesuai dengan ketentuan yang berlaku.
Perihal narasi yang menyertakan Kesultanan Buton, telah terkonfirmasi merupakan narasi hoaks. Melansir dari turnbackhoax.id, Kesultanan Buton telah runtuh sejak tahun 1960. Sejak saat itu mengenai Kesultanan Buton hanya berupa peninggalan benda-benda sejarah ataupun catatan kesejarahan.","Saya rasa grup akan menyukainya.Pelaksanaan Ibadah Haji Gratis resmi diterapkan oleh Indonesia, Arab Saudi, dan seluruh Negara",1
