date,URL,Title,Narrative,Statement,Label
"Desember 8, 2024",https://turnbackhoax.id/2024/12/08/penipuan-prabowo-bikin-kuis-tebak-angka-hadiah-puluhan-juta/,"[PENIPUAN] Prabowo Bikin Kuis Tebak Angka, Hadiah Puluhan Juta","Akun Threads “giveaway_berbagi11” pada Jumat (29/11/2024) membagikanvideo yang memperlihatkan foto Presiden Prabowo Subianto disertai narasi:
“Sampai Sekarang Belum Ada Yang Bisa!! Bapak Kirimkan Rp45jt, Janji Jangan BuatPoyapoya. Yang Bisa Tebak Angka Selain Angka17.”
Dari pengamatan Tim Pemeriksa Fakta Mafindo (TurnBackHoax), dalam bio profil Threads “giveaway_berbagi11” terdapat tautan yang mengarahkan warganet bergabung ke akun Telegram untuk pengambilan hadiah.
Hingga Jumat (8/12/2024) unggahan tersebut disukai sekitar 270-an pengguna Threads. Konten menuai lebih dari 700 komentar, mayoritas mempercayai kuis ini, ditandai dengan respons jawaban tebak kata.
TurnBackHoax mencari informasi di kanal komunikasi resmi milik Presiden Prabowo, sepertiInstagram“prabowo”,Facebook“Prabowo Subianto”, danX“Prabowo Subianto”. TurnBackHoax  juga memasukkan kata kunci “kuis tebak angka” ke laman Presiden RI,presidenri.go.id. Hasilnya, tidak ada pengumuman resmi dari Presiden tentang kuis tersebut.
Ketika menelusuriInstagram“prabowo”, TurnBackHoax menemukan bahwa foto yang disebarkan akun Threads “giveaway_berbagi11” serupa denganunggahan resmi Prabowopada Januari 2024. Konten asli sama sekali tak ada kaitannya dengan kuis tebak kata.","“Sampai Sekarang Belum Ada Yang Bisa!! Bapak Kirimkan Rp45jt, Janji Jangan BuatPoyapoya. Yang Bisa Tebak Angka Selain Angka17.”",1
"Desember 7, 2024",https://turnbackhoax.id/2024/12/07/salah-apple-mau-investasi-ke-ri-kalau-seluruh-pekerjanya-warga-as/,[SALAH] Apple Mau Investasi ke RI kalau Seluruh Pekerjanya Warga AS,"Akun TikTok “sejarahpolitikindonesia” pada Jumat (1/11/2024) mengunggahvideo. Isinya menyebut Apple—perusahaan teknologi asal Amerika Serikat (AS)—hanya mau menanamkan investasi ke Indonesia bila pemerintah memperbolehkan perusahaan tak membayar pajak selama 50 tahun. Apple juga diklaim hanya akan mempekerjakan warga negara AS.
Berikut narasi lengkapnya:
“Fakta Sejarah:Apple perusahaan Amerika ingin berinvestasi di Indonesia, Tapi dengan syarat tidak bayar pajak selama 50 tahun, Dan hanya ingin mempekerjakan warga Amerika.Boom! Prabowo Subianto menentang dan melarang Apple menjual Iphone 16 di Indonesia karena sangat merugikan Negara.Berita ini menjadi sorotan Media Luar, Dan di semua E-Commerce sudah memberikan Notifikasi atas pelarangan tersebut.Perwira delta Force saja ditampar hingga tersungkur, Apalagi hanya sekelas perusahaan Apple.”
Hingga Sabtu (7/12/2024), konten itu menuai lebih dari 285 ribu tanda suka dan 8.400-an komentar, serta dibagikan ulang 12.500 kali.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “Apple meminta pembebasan pajak 50 tahun di Indonesia” di laman pencarian Google. Salah satu hasil penelusuran mengarah ke pemberitaandetik.com“Keterlaluan, Apple Minta Pembebasan Pajak 50 Tahun di Indonesia”.
Dalam berita yang tayang Selasa (5/11/2024) itu, anggota Komisi VI DPR Mufti Anam menyebutkan Apple meminta pemerintah memberi pembebasan pajak (tax holiday) selama 50 tahun sebagai salah satu syarat investasi. Menurutnya, hal tersebut sangat tidak masuk akal. Melalui rapat kerja Komisi VI dengan Menteri BUMN Erick Thohir, pada Senin (4/11), Mufti meminta Kementerian BUMN untuk turun tangan dan berharap Indonesia tidak bergantung lagi pada iPhone.
Tidak ada informasi mengenai syarat lain yang diajukan oleh Apple, seperti seluruh pekerja harus merupakan warga negara Amerika, sebagaimana disampaikan dalam unggahan akun TikTok “sejarahpolitikindonesia”.
TurnBackHoax kemudian mengetikkan kata kunci “Penjualan iPhone 16 dihentikan di Indonesia” ke mesin pencari Google. Terdapat pemberitaantempo.co“Kronologi iPhone 16 Dilarang Masuk Indonesia hingga Kemenperin Pertimbangkan Matikan IMEI”.
Mengutip berita yang tayang akhir Oktober itu, alasan penghentian penjualan Iphone 16 di Indonesia dikarenakan Apple belum merealisasikan komitmen investasi Rp1,7 triliun secara penuh dalam jangka waktu delapan tahun.","“Fakta Sejarah:Apple perusahaan Amerika ingin berinvestasi di Indonesia, Tapi dengan syarat tidak bayar pajak selama 50 tahun, Dan hanya ingin mempekerjakan warga Amerika.Boom! Prabowo Subianto menentang dan melarang Apple menjual Iphone 16 di Indonesia karena sangat merugikan Negara.Berita ini menjadi sorotan Media Luar, Dan di semua E-Commerce sudah memberikan Notifikasi atas pelarangan tersebut.Perwira delta Force saja ditampar hingga tersungkur, Apalagi hanya sekelas perusahaan Apple.”",1
"Desember 4, 2024",https://turnbackhoax.id/2024/12/04/salah-ada-bansos-jutaan-rupiah-di-dalam-kartu-bpjs-kesehatan-dan-kis/,[SALAH] Ada Bansos Jutaan Rupiah di dalam Kartu BPJS Kesehatan dan KIS,"Akun TikTok “info.rakyat2” pada Minggu (24/11/2024) menyebarkanfotodisertai narasi:
“Ternyata di dalam kartu KIS BPJS Kesehatan ada bansosnya. pemegang Kartu Indonesia Sehat (KIS) dari BPJS Kesehatan berhak mendapatkan bantuan sosial (bansos) tunai, senilai 1,2-2,5jt”
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan kata kunci “di dalam Kartu KIS BPJS Kesehatan ada bansosnya” ke mesin pencarian Google.Hasilnya, ditemukan beritakompas.com“Ramai soal Pemegang KIS Dapat Bansos Tunai, Benarkah? Ini Kata BPJS” yang tayang Minggu (17/11/2024).
Asisten Deputi Bidang Komunikasi Publik dan Hubungan Masyarakat BPJS Kesehatan, Rizzky Anugerah, membantah informasi pemegang KIS mendapatkan bansos.
“Tidak ada bantuan dan program seperti hal tersebut,” ujarnya, ketika dihubungi Kompas.com, Minggu (17/11/2024).","“Ternyata di dalam kartu KIS BPJS Kesehatan ada bansosnya. pemegang Kartu Indonesia Sehat (KIS) dari BPJS Kesehatan berhak mendapatkan bantuan sosial (bansos) tunai, senilai 1,2-2,5jt”",1
"Desember 3, 2024",https://turnbackhoax.id/2024/12/03/salah-megawati-bekingi-tersangka-kasus-judi-online/,[SALAH] Megawati Bekingi Tersangka Kasus Judi Online,"Akun Facebook “Pusing Sama Dunia” pada Selasa (26/11/2024) membagikanvideo[arsip unggahandanarsip video] berisi informasi yang menyebut kalau Megawati membekingi keponakannya yang merupakan tersangka kasus judi online.
Unggahan disertai narasi:
“The Real PERINGATAN DARURAT‼️ Sangat-sangat MIRIS! Ternyata kasus Judi Online beckingannya adalah MEGAWATI, seorang Mantan Presiden😳”
Berikut potongan narasi dalam video tersebut:
“Kepolisian membenarkan bahwa Alwin Jabar Kiemas, yang merupakan keponakan dari Megawati Soekarnoputri, mantan presiden Republik Indonesia dan juga seorang ketua umum partai politik pdip, menjadi tersangka kasus judi online yang melibatkan para pegawai kondigi.”
Hingga Selasa (2/12/2024) konten disukai lebih dari 275 akun lainnya dan dibagikan ulang hampir 20 kali. Terdapat 17 komentar, mayoritas mempercayai informasi dalam unggahan.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “Mantan Presiden Megawati terlibat judi online” ke kolom pencarian Google. Hasilnya ditemukan pemberitaansuara.com“Siapa Alwin Jabarti Kiemas? Tersangka Kasus Judi Online yang Dikira Keponakan Megawati” yang tayang Rabu (27/9/2024) dan pemberitaan daritempo.co“Alwin Kiemas Pelaku Situs Judi Online, PDIP Tegaskan Bukan Keluarga Megawati-Taufiq Kiemas” yang tayang Jumat (29/11/2024).
Dilansir darisuara.com, Polda Metro Jaya memang menetapkan seorang bernama Alwin Jabarti Kiemas sebagai tersangka kasus judi online. Namun, tidak dijelaskan apakah sosok Alwin ini merupakan keponakan Megawati atau bukan.
Mengutiptempo.coo, Ketua DPP PDIP Bidang Hukum Nasional Ronny Talapessy membantah kabar tentang tersangka kasus judi online merupakan keponakan Megawati. Ronny menganggap klaim tersebut sebagai fitnah dan manipulasi opini yang sengaja menyeret nama Megawati dan PDIP
“Yang bersangkutan bukan keluarga dan juga bukan kader PDI Perjuangan,” kata Ronny kepada awak media pada Senin (25/11/2024).","“The Real PERINGATAN DARURAT‼️ Sangat-sangat MIRIS! Ternyata kasus Judi Online beckingannya adalah MEGAWATI, seorang Mantan Presiden😳”
“Kepolisian membenarkan bahwa Alwin Jabar Kiemas, yang merupakan keponakan dari Megawati Soekarnoputri, mantan presiden Republik Indonesia dan juga seorang ketua umum partai politik pdip, menjadi tersangka kasus judi online yang melibatkan para pegawai kondigi.”",1
"Desember 3, 2024",https://turnbackhoax.id/2024/12/03/salah-prabowo-tidak-segan-segan-seret-jokowi-ke-meja-hijau/,[SALAH] Prabowo Tidak Segan-Segan Seret Jokowi ke Meja Hijau,"Beredarvideodari kanal YouTube “KAJIAN ASWAJA” yang menyebut Prabowo tidak segan-segan seret Jokowi ke meja hijau jika masih sok berkuasa.
Berikut narasi lengkapnya:
GEGER! BARU BOCOR MALAM INI, PRABOWO TAK SEGAN² SERET MULYONO KE MEJA HIJAU JIKA MASIH SOK BERKUASAJOKOWI NGAMUK KE PRABOWOKABAR PALING HEBOH MALAM INIHUBUNGAN PRABOWO-JKW RETAK PARAH
Sejak diunggah Kamis (28/11/2024), video tersebut telah ditonton lebih dari 5.700 kali per Selasa (3/12/2024).
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pertama-tama menelusuri kebenaran klaim dengan memasukkan kata kunci “Prabowo tidak segan-segan seret Jokowi ke meja hijau jika masih sok berkuasa” ke mesin pencarian Google.
Hasilnya, tidak ditemukan informasi tentang Prabowo tidak segan-segan seret Jokowi ke meja hijau jika masih sok berkuasa.
TurnBackHoax kemudian menelusuri sampul foto video itu lewat Google Lens dan tidak menemukan gambar serupa. Potret dalam sampul video merupakan hasil suntingan atau manipulasi dari penggabungan sejumlah gambar.
Dari pengamatan TurnBackHoax, video berdurasi 16 menit 17 detik itu hanya menayangkan ulang video dari kanal YouTube Refly Harun “RETAK! JOKOWI ‘NGAMUK’ KE PRABOWO, MALAH BALIK ‘DIANCAM’ PERLAWANAN?! SIAPA PALING BERKUASA?!” yang tayang Rabu (30/10/2024).","GEGER! BARU BOCOR MALAM INI, PRABOWO TAK SEGAN² SERET MULYONO KE MEJA HIJAU JIKA MASIH SOK BERKUASAJOKOWI NGAMUK KE PRABOWOKABAR PALING HEBOH MALAM INIHUBUNGAN PRABOWO-JKW RETAK PARAH",1
"Desember 3, 2024",https://turnbackhoax.id/2024/12/03/salah-ada-aksi-massa-desak-prabowo-tendang-dinasti-raja-jawa/,[SALAH] Ada Aksi Massa Desak Prabowo Tendang Dinasti Raja Jawa,"Beredarvideodari kanal YouTube “Kabar Akurat” yang mengeklaim adanya aksi massa yang mendesak Prabowo untuk menendang dinasti Raja Jawa.
Berikut narasi lengkapnya:
Aksi Massa Hari Ini Memanas, Desak Prabowo Tendang Dinasti Raja Jawa, KABAR AKURATBREAKING NEWSAKSI MASSA HARI INI MEMANASSDESAK PRABOWO TENDANG MULYONO
Klaim diperkuat dengan sampul foto (thumbnail) yang menampilkan kerumunan massa yang sedang unjuk rasa. Sejak diunggah Kamis (28/11/2024), video itu telah ditonton lebih dari 17.000 kali per Selasa (3/12/2024).
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pertama-tama menelusuri kebenaran klaim dengan memasukkan kata kunci “aksi massa desak Prabowo tendang dinasti Raja Jawa” ke mesin pencarian Google.
Hasilnya, tidak ditemukan informasi tentang adanya aksi massa desak Prabowo tendang dinasti Raja Jawa.
TurnBackHoax kemudian menelusuri sampul foto video itu lewat Google Lens dan tidak menemukan gambar serupa. Potret dalam thumbnail video merupakan hasil suntingan atau manipulasi dari gabungan sejumlah gambar.
Video berdurasi 17 menit 06 detik tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan. Narator dalam video membacakan ulang beritaliputan6.com“’Open Jastip’ Politik dan Pertaruhan Jokowi di Pilkada 2024”.
Berita yang tayang Senin (25/11/2024) tersebut membahas tentangJokowiyang muncul kembali diPilkada 2024dengan ‘open jastip’ atau jasa titip dukungan kepada calon kepala daerah.
Narator dalam video juga membacakan ulang beritarmol.id“Waspadai Partai Cokelat, PDIP: Biarkan Rakyat Bebas Memilih!”.Artikel yang tayang Rabu (27/11/2024) itu membahas Dewan Pimpinan Pusat (DPP) Partai Demokrasi Indonesia Perjuangan (PDIP) mewaspadai pergerakan partai cokelat alias Parcok di Pilkada Serentak 2024. Partai cokelat merujuk pada oknum polisi yang dikerahkan untuk memenangkan calon tertentu.","Aksi Massa Hari Ini Memanas, Desak Prabowo Tendang Dinasti Raja Jawa, KABAR AKURATBREAKING NEWSAKSI MASSA HARI INI MEMANASSDESAK PRABOWO TENDANG MULYONO",1
"Desember 3, 2024",https://turnbackhoax.id/2024/12/03/salah-budi-arie-ancam-bongkar-rahasia-negara-bila-dipecat/,[SALAH] Budi Arie Ancam Bongkar Rahasia Negara bila Dipecat,"Akun X ‘Tommy Shelby’ pada Senin (4/11/2024) membagikanfoto berisi narasi:
“BERANI PECACT SAYA, SAYA BONGKAR SEMUA RAHASIA NEGARA”
Hingga Selasa (3/12/2024) unggahan sudah dilihat lebih dari 1,2 juta kali, disukai 20 ribu akun, dan dibagikan ulang sekitar 4.200-an kali.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memasukkan kata kunci “Budi Arie ancam bongkar rahasia negara bila dipecat” ke mesin pencari Google. Tidak ada sumber kredibel yang membenarkan klaim “Budi Arie mengancam akan membongkar semua rahasia negara” apabila dirinya dipecat sebagai Menteri Koperasi (Menkop) dari Kabinet Merah Putih di bawah kepemimpinan Presiden Prabowo.
TurnBackHoax kemudian menelusuri Instagram resmiInspirasiTV, entitas yang terlihat dalam foto unggahan akun X ‘Tommy Shelby’. Hasilnya, tidak ditemukan konten serupa.
Foto dalam unggahan akun ‘Tommy Shelby’ merupakan hasil suntingan dari artikelutamanews.com“Wamendes PDTT: KKB Tidak Berhak Terima Dana Desa” yang tayang Maret 2021.
Konteks aslinya, Budi Arie Setiadi (kala itu Wakil Menteri Desa Pembangunan Daerah Tertinggal, Transmigrasi, dan Daerah Tertinggal) mengatakan Kelompok Kriminal Bersenjata (KKB) tidak berhak mendapat dana desa.","“BERANI PECACT SAYA, SAYA BONGKAR SEMUA RAHASIA NEGARA” ",1
"Desember 2, 2024",https://turnbackhoax.id/2024/12/02/salah-foto-helikopter-israel-ditembak-di-lebanon-saat-angkut-korban-tentara-zionis/,[SALAH] Foto Helikopter Israel Ditembak di Lebanon saat Angkut Korban Tentara Zionis,"Akun Facebook “Umat Akhir” pada Sabtu (23/11/2024) membagikanfoto berisi narasi:
“🚨🚨Mendesak: 😎🇱🇧 Sebuah helikopter Israel ditembak jatuh di daerah #Khiam di Lebanon selatan ketika sedang mengangkut sejumlah korban tewas dan terluka dari tentara Zionis.💥🇮🇱🐭♨️”
Konten itu telah disukai 50 pengguna Facebook hingga Senin (2/12/2024). Terdapat tiga komentar yang terlihat mempercayai informasi dalam unggahan.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri foto tersebut lewat Google Lens.Hasilnya, ditemukan artikel periksa faktalogicallyfacts.comberjudul “Old image shared with false claim it shows Israeli helicopter being shot down” yang tayang November 2024.
Disebutkan, helikopter Israel itu sedang menembakkan suar di jalur Gaza pada Maret 2019. Tidak ada kaitannya dengan konflik yang sedang terjadi di Lebanon akhir-akhir ini.
Dilansir dari pemberitaanmetrotvnews.com, Hizbullah—kelompok pejuang Islam di Lebanon—pada November 2024 menyerang pasukan Israel dengan empat salvo roket di Khiam, Lebanon. Namun, tidak ditemukan sumber valid yang memberitakan “penyerangan terhadap helikopter Israel yang mengangkut korban tentara zionis” pada November 2024.",“🚨🚨Mendesak: 😎🇱🇧 Sebuah helikopter Israel ditembak jatuh di daerah #Khiam di Lebanon selatan ketika sedang mengangkut sejumlah korban tewas dan terluka dari tentara Zionis.💥🇮🇱🐭♨️”,1
"November 30, 2024",https://turnbackhoax.id/2024/11/30/salah-gaji-umr-dipotong-ppn-12/,[SALAH] Gaji UMR Dipotong PPN 12%,"Akun X “opposite6892” pada Senin (25/11/2024) mengunggahfoto berisi tangkapan layar yang menampilkan sosok Menteri Keuangan Sri Mulyani disertai narasi:
“GAJI UMR DIPOTONG PPN 12%, BURUH SELURUH INDONESIA ANCAM MOGOK KERJA”
Sampai dengan artikel ini dibuat, unggahan tersebut telah dilihat lebih dari 4 juta kali oleh pengguna X.
Mengacu Undang-Undang (UU) Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan dalam:
Gaji bukan objek pajak pertambahan nilai (PPN) dan hanya dikenakan pemotongan pajak penghasilan (PPh).","“GAJI UMR DIPOTONG PPN 12%, BURUH SELURUH INDONESIA ANCAM MOGOK KERJA”",1
"November 30, 2024",https://turnbackhoax.id/2024/11/30/salah-presiden-prabowo-mau-liburkan-sekolah-satu-bulan-saat-puasa/,[SALAH] Presiden Prabowo Mau Liburkan Sekolah Satu Bulan saat Puasa,"Akun X “tanyarlfest” pada Senin (25/11/2024) mengunggahfoto berisi tangkapan layar mengenai pernyataan Prabowo yang akan meliburkan sekolah selama satu bulan saat bulan puasa.
Unggahan disertai cuitan:
“💚 Alhamdulillah 🥹”
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) melakukan penelusuran dengan mencari pemberitaan yang dilampirkan dalam unggahan. Hasilnya, dibengkulu.tribunnews.comtidak ada berita tentang “Prabowo akan meliburkan sekolah selama 1 bulan penuh”.
Dilansir daribengkulu.tribunnews.com, Prabowo memang sempat menyatakan janji tersebut, tepatnya saat dirinya mencalonkan diri sebagai presiden di tahun 2019. Namun, sampai saat ini belum ada pernyataan resmi dan pembahasan antara Presiden Prabowo, Kementerian Agama (Kemenag), dan Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen) tentang libur sekolah di bulan puasa 2025.︎","Presiden Prabowo
Akan Meliburkan
Sekolah 1 Bulan
Penuh Saat Bulan
Puasa 2025",1
