Statement,Narrative,Label
"29 tokoh pendukung capres 02 kena motif. siapa saja mereka?
sebanyak 29 nama tokoh pendukung capres/cawapres nomor urut 02 prabowo-sandi, menjadi target operasi intelijen alias “kena motif”. hal itu tampak dari viralnya nama mereka sebagai pihak yang diawasi pergerakannya oleh dirjen imigrasi. sebagaimana dalam operasi intelijen, menggiring opini publik sebagai salah satu langkah penindakan, dilakukan melalui media massa atau siaran publik supaya mendapat pembenaran tindakan dari masyarakat atau legitimasi sosial.
monitoring terhadap ke-29 tokoh tersebut seiring dengan semakin dekatnya momentum penetapan hasil pemilu serentak 2019 yang dijadwalkan pada 22 mei 2019.
instruksi yang disebut-sebut dari dirjen imigrasi cc bin, itu berupa arahan memonitor 29 orang itu jika melintas, dan aparat agar mengecek dengan baik. 
berikut 29 nama yang disebut-sebut sedang dimonitor aparat tersebut:
rockmat s. labib (hti), farid wadjdi (hti), habib rizieq shihab (fpi/pa 212), m. amien rais (pa 212/bpn 02), slamet maarif (pa 212/bpn 02), **bachtiar nasir (pa 212), ansufri idris sambo (pa 212), haikal hassan baras (pa 212), habib muchsin bin ahmad al attas (fpi), hilmy bakar almascaty (fpi), muhammad gatot santono atau muhammad al khaththath (giss), muidinillah basri (dsks), eggi sudjana (bpn 02), djoko santoso (bpn 02), rizal ramli (bpn 02), musa bangun (bpn 02), fadli zon (bpn 02/partai gerindra), muhammad ismail yusanto (hti/pks), mardani ali sera (pks), mohamad sohibul iman (pks), titi widoretno warisman (#2019gantipresiden), said iqbal (kspi), namrudin (gmj), tedjo edhy purdijatno (punawirawan), kivlan zein (punawirawan), judi magio jusuf (punawirawan), glenny kairupan (punawirawan), soenarko (punawirawan), dan sjafrie sjamsoeddin (punawirawan). 
dari nama-nama tersebut diatas telah dilakukan tindakan lanjutan yaitu terhadap eggi sudjana (ditahan), haikal hasan, bachtiar nasir yang sedang mengikuti konferensi liga muslim dunia dan telah diperintahkan untuk menangkapnya begitu kembali ke tanah air mendarat di bandara. 
sedangkan untuk antisipasi adanya aksi emak-emak pendukung capres/cawapres 02 mantan kepala bin am hendropriyono menyatakan telah mempersiapkan ratusan anjing terlatih guna membubarkan massa. 
petugas keamanan (bko) brimob dari berbagai polda dengan masing-masing 200-300 personil juga telah ditempatkan di jakarta, dilengkapi senjata laras panjang dengan 2 magazin peluru. 1 magazin berisi peluru hampa 3 butir dan peluru karet 17 butir, serta 1 magazin berisi 20 butir peluru tajam.","beredar di media sosial sebuah pesan yang berisi instruksi agar
memonitor 29 tokoh pendukung prabowo subianto – sandiaga uno.
instruksi yang disebut-sebut dari
dirjen imigrasi cc bin itu berisi 29 nama harus dimonitor jika melintas.
adapun arahannya,
aparat diminta mengecek dengan baik saat 29 orang itu melintas di sistem.
perintahnya, jika ada tanda lakukan sesuai sop, tapi jika tidak cukup dimonitor
saja dan diinfokan.
berikut 29 nama yang disebut-sebut sedang dimonitor aparat tersebut:
1. rockmat s. labib (hti)2. farid wadjdi (hti)3. habib rizieq shihab (fpi/pa 212)4. m. amien rais (pa 212/bpn 02)5. slamet maarif (pa 212/bpn 02)6. bachtiar nasir (pa 212)7. ansufri idris sambo (pa 212)8. haikal hassan baras (pa 212)9. habib muchsin bin ahmad al attas (fpi)10. hilmy bakar almascaty (fpi).11. muhammad gatot santono atau muhammad al khaththath (giss)12. muidinillah basri (dsks)13. eggi sudjana (bpn 02)14. djoko santoso (bpn 02)15. rizal ramli (bpn 02)16. musa bangun (bpn 02)17. fadli zon (bpn 02/partai gerindra)18. muhammad ismail yusanto (hti/pks)19. mardani ali sera (pks)20. mohamad sohibul iman (pks)21. titi widoretno warisman (#2019gantipresiden).22. said iqbal (kspi)23. namrudin (gmj)24. tedjo edhy purdijatno (punawirawan)25. kivlan zein (punawirawan)26. judi magio jusuf (punawirawan)27. glenny kairupan (punawirawan)28. soenarko (punawirawan)29. sjafrie sjamsoeddin (punawirawan)
melihat beredarnya
pesan tersebut, pihak badan intelijen negara (bin) memberikan klarifikasi.
juru bicara kepala badan intelijen negara (bin) wawan purwanto
mengatakan tidak benar informasi 29 nama tokoh mayoritas pendukung paslon 02
prabowo-sandi yang sedang dimonitor aparat.
“itu informasihoax,” ujarnya dilansir
darikantor berita politik rmol, sabtu (18/5).",0
"jakarta barat ada yang menyatakan tak aman, dengan beredarnya voice note pembegalan, di jembatan fly over pesing. itu tidak benar. hoaks,” tegasnya.","atas beredarnya pesan berantai berupa rekaman suara atau voice note mengenai isu pembegalan di pesing, cengkareng, jakarta barat, pihak kepolisian memberikan klarifikasi. dilansir dari kompas.com, detik.com, kriminologi.com, dan gridoto.com, kepala satuan reserse kriminal polres metro jakarta barat akbp edy suranta sitepu, menegaskan, isu pembegalan di flyover atau jembatan layang pesing adalah tidak benar.
“jakarta barat ada yang menyatakan tak aman, dengan beredarnya voice note pembegalan, di jembatan fly over pesing. itu tidak benar. hoaks,” tegasnya.
edy juga menjelaskan, baik sebelum atau selama bulan ramadan, tingkat kejahatan di jakarta barat menurun 13 persen. “kemudian yang katakan daerah jakbar, khususnya di pesing, rawan begal tak ada. bahkan tren kejahatan jakbar selama ramadan, sebelum atau selama ramadan, menurun 13 persen, bukan naik, tapi menurun 13 persen,” ungkapnya.
adapun, edy mengatakan, saat ini pihaknya sudah membentuk tim khusus untuk mencari pengedar pesan suara tersebut. bila sudah ditangkap, edy memastikan, pihak polres metro jakarta barat akan merilis kabarnya.
“kami sudah bentuk tim untuk menyelidiki kasus ini. saat ini, anggota kami sedang di lapangan untuk cari pelaku yang sebarkan berita bohong. apabila pelaku nanti ditemukan, pelaku akan kami proses sebagaimana yang dimaksud dengan uu ite,” kata edy.
selain voice note tentang pembegalan, edy juga membantah adanya beredarnya voice note tentang terjadi tumpahan oli di flyover pesing. “semalam beredar juga tumpahan oli di pesing. ini informasi meresahkan. kami telusuri kemarin. flyover pesing nihil,” ucap edy",0
"“assalamualaikum warahmatullahi wabarakatuh salam sejahtera untuk kita semua semoga kita semua selalu dalam lindungan yang maha kuasa. saya khofifah indar parawansa di akun tiktok ini spesial jumat berkah saya akan berbagi bantuan 10 juta. bantuan ini hanya untuk yang benar-benar membutuhkan ya, silahkan bagikan postingan ini, lalu tekan tanda hati dan tanda panah. semoga bantuan ini bisa bermanfaat ya.”","beredarvideo dari akun tiktok “khofifah_indar.official” yang memperlihatkan khofifah indar parawansa (calon gubernur jawa timur) mengatakan ingin membagi bantuan rp10 juta khusus bagi yang benar-benar membutuhkan.
berikut narasi yang diucapkan khofifah dalam video:
“assalamualaikum warahmatullahi wabarakatuh salam sejahtera untuk kita semua semoga kita semua selalu dalam lindungan yang maha kuasa. saya khofifah indar parawansa di akun tiktok ini spesial jumat berkah saya akan berbagi bantuan 10 juta. bantuan ini hanya untuk yang benar-benar membutuhkan ya, silahkan bagikan postingan ini, lalu tekan tanda hati dan tanda panah. semoga bantuan ini bisa bermanfaat ya.”
unggahan per minggu (17/11/2024) telah ditayangkan 10 ribu kali, dibagikan hampir 500 kali, dan disukai sekitar 430-an pengguna tiktok.
disadur dari artikel periksa faktatirto.id.
tim riset tirto pertama-tama mengunjungi instagram khofifah,khofifah.ip, dan akun tiktokkhofifah.official. hasilnya, tidak ditemukan unggahan resmi yang memberikan informasi serupa.
penelusuran berlanjut dengan mengunggah potongan audio konten tersebut ke alat pendeteksi ai dari hive moderation. diketahui, audio dalam video yang beredar merupakan hasil rekayasa ai dengan probabilitas sebesar 99,8 persen.
tirto kemudian menelusuri foto khofifah yang digunakan dalam video lewat google image dan yandex. gambar itu rupanya pernah dimuat dalam siaran youtubetribunnewsdantribun jatim. namun, keduanya tak membahas perihal khofifah berbagi rp10 juta.",1
"redaksi liputan6 sctv tidak pernah
revisi hasil qc, stop sebar hoaks! -
liputan 6 terkini","berikut bunyi pesan yang tersebar di media sosial facebook dan juga whatsapp:
gugat quick count
alhamdulillah,  bbrp tv yg tdk berfihak kepd paslon 02/ ps,telah meniadakantampilan qc / hitung cepatin syaa allah,  di semua media tv
karena menylebar kan kebohongan publik.
atas desakan,peringatan kpi (komisi penyiaran ind.), serta somasi dari pengacara bpn & semua pihak
sctv tv siang ini pkl 12.30, sdh merevisi info hasil pilpres, sbb : joko-ma 42,8%. pas-sandi 55,4%.
kekhawatiran serius utk di pidanakan karena menyiarkan data palsu dan kebohongan publik.
hari ini jam 11 di bareskrim sdh ajukan semua qc & semua tv penayang qc ke pengadilan.
apib,
mohon di inform kan kepd seluruh rakyat indonesia.
dari hasil penelusuran yang didapat, diperoleh dua sumber yang menyebut bahwa sctv telah merevisi hasil info hitung cepat pilpres yakni dari media sosial facebook dan pesan berantai whatsapp. memiliki narasi yang serupa, baik sumber yang diperoleh dari facebook dan juga whatsapp menyebut jika sctv telah merevisi hasil perhitungan pilpres.
menanggapi hal tersebut, pihak terkait yakni redaksi liputan 6 sctv langsung melakukan klarifikasi. dalam klarifikasnya baik melalui media daring dan juga televisi, redaksi liputan 6 sctv menyatakan tidak pernah merevisi info hasil hitung cepat maupun exit poll pada program liputan 6 siang sctv edisi kamis 18 april 2019.
“pada tayangan tersebut, redaksi menampilkan beberapa infografis terkait cara kerja hitung cepat dan exit poll. layar pertama menampilkan metode quick count. layar kedua, hasil quick count enam lembaga survei terkait pilpres. kemudian layar ketiga, hasil exit poll badan pemenangan nasional prabowo sandi,” demikian penjelasan redaksi liputan 6 sctv.
selain itu, redaksi liputan 6 sctv juga menyatakan bahwa tayangan berita utuh dengan durasi 3 menit tersebut, kemudian direkam dan juga ditangkap layar hanya pada bagian exit poll versi bpn saja dan kemudian disebarkan. dalam penjelasannya pihak redaksi liputan 6 sctv menjelaskan bahwa potongan video dan tangkapan layar tersebut telah disalahgunakan dan dibuat seolah liputan 6 merevisi hasil quick count sejumlah lembaga survey yang menyatakan keunggulan pasangan jokowi-ma’ruf.
tak hanya mengklarifikasi, redaksi liputan 6 sctv juga menjelaskan versi utuh dari berita yang mereka tayangkan tersebut. pada kamis 18 april 2019, presenter sctv jati darma tengah menjelaskan mengenai ramainya perbincangan mengenai hasil hitung cepat pilpres 2019 yang dilakukan sejumlah lembaga survei. kemudian, adanya perbedaan dengan survei yang dilakukan internal badan pemenangan nasional (bpn) prabowo-sandiaga.
berita liputan 6 sctv kemudian menampilkan grafis mengenai 6 lembaga survei yang merilis hasil hitung cepatnya.
lembaga survei smcr dengan data masuk 97 persen menyatakan, pasangan 01: 54,52 persen, pasangan 02: 45,48 persen.
lembaga indo barometer dengan suara masuk 99,67 persen menyatakan pasangan 01: 54,32 persen, pasangan 02: 45,68 persen.
lembaga csis dan cyrus network dengan data masuk 98,15 persen menyatakan pasangan 01: 55,59 persen, pasangan 02: 44,41 persen.
libtang kompas dengan data masuk 97 persen menyatakan, pasangan 01: 54,52 persen, pasangan 02: 45,48 persen.
kemudian charta politika dengan data masuk 98,6 persen menyatakan, pasangan 01: 54,32 persen, pasangan 02: 45,68 persen.
lembaga poltracking dengan data masuk 99,3 persen menyatakan, pasangan 01: 54,87 persen, pasangan 02: 45,13 persen.
tayangan kemudian menampilkan exit poll badan pemenangan nasional prabowo-sandi. dalam perhitungan bpn, jokowi-ma’ruf mendapat 42,8 persen dan pasangan prabowo-sandiaga 55,4 persen.",0
"“bukan dari kpk,” kata ketua kpk, agus rahardjo, minggu (3/6).
“kpk tidak pernah memproses seseorang sebagai calon kepala daerah, hal tersebut sudah kami tegaskan, karena uu mengatur kewenangan kpk memperoses penyelenggara negara,” ujar, juru bicara kpk, febri diansyah, minggu (3/6).","informasi yang tidak benar dengan mengatasnamakan lembaga anti rasuah tersebut, berbentuk file pdf yang disebarkan melalui pesan berantai whatsapp. file pdf itu diberi judul “kpk umumkan33” dengan isi 18 nama calon kepala daerah yang mengikuti pilkada serentak yang diduga terlibat korupsi.
namun isu ini telah dibantah kpk melalui ketua dan juru bicaranya. ketua kpk agus rahardjo menyatakan dokumen yang tersebar tersebut bukan dari kpk.
“bukan dari kpk,” kata agus, minggu (3/6).
di sisi yang sama, juru bicara kpk, febri diansyah menegaskan bahwa kpk tidak pernah memproses seseorang sebagai calon kepala daerah, melainkan sebagai individu yang terlibat korupsi. “kpk tidak pernah memproses seseorang sebagai calon kepala daerah, hal tersebut sudah kami tegaskan, karena uu mengatur kewenangan kpk memperoses penyelenggara negara,” ujar febri.
mantan aktivis indonesia corruption watch (icw) itu pun menambahkan jika kpk telah masuk proses penyidikan dan ada tersangka, maka hal itu akan diumumkan secara resmi melalui konferensi pers. “bukan dengan dokumen pdf seperti itu yang pasti tidak benar,” tegas febri.
lebih lanjut febri menuturkan, sebelumnya lebih dari 100 kasus kepala daerah telah diproses kpk. menurut dia, memang ada sebagian yang sedang mencalonkan diri sebagai kepala daerah kembali. “namun hal tersebut, seperti yang sudah ditegaskan sebelumnya bahwa dilakukan hanya dalam koridor hukum,” tutupnya.
berikut 18 nama calon kepala daerah yang ditulis dalam file pdf tersebut;
1. calon gubernur riau 2018-2023, syamsuar (mantan bupati siak dua periode) ini diduga terlibat kasus tindak pidana korupsi dana bansos dan dana hibah tahun angggaran 2015-2016.
2. calon walikota petahana kediri 2018-2023, syamsul ashar yang melakukan tindak pidana korupsi pembangunan jembatan brawijaya kota kediri tahun anggaran 2011-2013.
3. calon walikota madiun 2018-2023 , maidi (mantan sekda kota madiun) yang diduga terlibat tindak pidana korupsi walikota madiun bambang irianto yang sekarang jadi tahanan kpk.
4. walikota siantar (sumatera utara) hefriansyah, yang diduga terlibat kasus suap proyek pembangunan jembatan sentang bersama tersangka bupati batubara ok arya zulkarnain.
5. calon bupati padadang lawas utara (paluta) sumut, andar amin harahap (mantan walikota sidompuan) sumatera ini diduga terlibat tindak pidana korupsi pengadaan alat kesehatan kabupaten padang lawas utara tahun anggaran tahun anggaran 2015-2016.
6. calon bupati bangkalan 2018-2023, farid alfauzi (mantan ketua fraksi ppp dprd kabupaten bangkalan) yang diduga terlibat tindak pidana korupsi dana program penanganan sosial ekonomi masyarakat di provinsi jawa timur tahun 2008-2009.
7. calon walikota cirebon 2018-2023, nasrudin aziz (petahana)diduga terlibat tindak pidana penjualan asset daerah berupa tanah di jalan cipto kota cirebon. kasus ini dilaporkan oleh ahmad subur karsa (warga kota cirebon) ke kpk tahun 2017.
8. calon walikota bekasi 2018-2023, rahmad efendi (petahana) yang diduga terlibat korupsi dana apbd kota bekasi tahun anggaran 2009-2010.
9. calon gubernur papua 2018-2023, lukas enembe (petahana) yang diduga korupsi proyek pembangunan jalan kemiri-depapre jayapura yang dibaiayai dari dana apbd provinsi papua tahun anggaran 2015.
10. calon gubernur papua 2018-2023, john wenpi watipo (mantan bupati jayawiya) yang diduga terlibat tindak pidana korupsi pengadaan beras rakyat miskin dan pembelian pesawat boing 737-300 , dan sewa pesawat antonov 12 sewaktu menjabat bupati jayawijaya.
11. calon bupati puncak papua, williem wandik (bupati petahana) yang diduga terlinat korupsi dana bansos sebesar rp 15 miliar tahun 2015.
12. calon gubernur maluku 2018-2023, said assagaf (gubernur petahana) yang diduga terlibat tindak pidana korupsi pengadaan asset bank maluku senilai rp 54 miliar tahun 2015.
13. calon walikota tual 2018-2023, adam rahayaan (walikota petahana) akan diperiksa sebagai saksi oleh kpk dalam kasus penyelewengan dana asuransi kesehatan (askes) anggota dprd kabupaten maluku tenggara tahun 1999-2004 sebesar rp 5,7 miliar.
14. calon bupati donggala sulteng 2018-2023, kasman lassa (bupati petahana) diduga terlibat tindak pidana korupsi dana koni provinsi sulawesi tengah sebesar rp 1,4 miliar.
15. calon gubernur kalimantan barat 2018-2023, milton crosby (mantan bupati sintang dua periode) diduga terlibat tindak pidana korupsi pengadaan obligasi bibit karet tahun 2017 sewaktu menjabat bupati sintang.
16. calon gubernur lampung 2018-2023, m ridho ficardo diduga terlibat tindak pidana korupsi dana koni provinsi lampung tahun anggaran 2016 senilai rp 55 miliar.
17. calon bupati sanggau kalbar 2018-2023, paulus hadi (wakil bupati incumbent) akan diperiksa sebagai saksi oleh kpk dalam kasus dugaan tindak pidana korupsi dana penguatan infrastrustruktur dan prasarana daerah (dpipd) kabupaten sanggu tahun 2010.
18. calon bupati bangka 2018-2023, tarmizi (bupati petahana) akan diperiksa sebagai saksi oleh kpk dalam kasus tindak pidana korupsi miliran proyek pengerukan alur muara sungai jelitik yang dibiayai oleh dana apbd kabupaten bangka.",0
"kaesang di panggil kpk ?.‪garispolitik1320

mengejutkan..!  
di panggil paksa kpk?  
gratifikasi kaesang seret gibran & jkw","setelah menonton keseluruhan dari isi video, tidak ditemukan informasi terkait klaim yang beredar. video tersebut hanya berisi cuplikan dari beberapa peristiwa berbeda yang tidak berkaitan.
narator dalam video hanya membacakan ulang artikel daritribunnews.comberjudul “kirim utusan klarifikasi kaesang, kpk disentil boyamin saiman: aneh kalau mereka mendatangi”.
artikel ini membahas tentang upaya pimpinan komisi pemberantasan korupsi (kpk) untuk melakukan klarifikasi kepada putra bungsu presiden jokowi, kaesang pangarep terkait dugaan gratifikasi jet pribadi yang digunakan untuk pergi ke amerika serikat bersama istrinya, erina gudono.
thumbnail yang ditampilkan dalam video merupakan hasil manipulasi dari gambar lobi gedung kpk yang dimuat artikeldetik.comdengan judul “gedung kpk kembali dibuka, pegawai masuk kantor dibatasi 50 persen”. dalam gambar aslinya tidak menampilkan sosok kaesang.
selain itu, terdapat juga gambar personel brimob dalam thumbnail. gambar tersebut bersumber dari artikeldetik.comyang berjudul “digiring personel brimob, bupati mimika tiba di gedung kpk”.
berdasarkan penjelasan di atas, klaim narasi yang disebarluaskan oleh channel youtube garis politik adalah keliru dan termasuk ke dalam konten yang dimanipulasi.",1
"kirain suplai susunya bakal diambil dari peternak lokal, karena itu akan ikut membantu perputaran ekonomi dalam negri, harusnya bisa untuk mencicil hutang juganetizen menduga adanya indikasi permainan lahan bisnis, dan yang diuntungkan adalah tender kolega sendiri","akun facebook “peternak inovatif” pada sabtu (9/11/2024) membagikanfoto, isinya mengeklaim pemerintah mengimpor 1,8 juta ton susu dari vietnam untuk “program makan bergizi”.
unggahan disertai narasi:
kirain suplai susunya bakal diambil dari peternak lokal, karena itu akan ikut membantu perputaran ekonomi dalam negri, harusnya bisa untuk mencicil hutang juganetizen menduga adanya indikasi permainan lahan bisnis, dan yang diuntungkan adalah tender kolega sendiri
dari pengamatan tim pemeriksa fakta mafindo (turnbackhoax), terdapat logo dan tulisan “liputan6” dalam unggahan tersebut.
hingga jumat (22/11/2024), konten itu menuai lebih dari 3.600 impresi, 2.300-an komentar, serta dibagikan ulang 1.000 kali.
turnbackhoax mengecek keaslian judul unggahan di laman liputan6. hasilnya, media tersebut tak pernah mempublikasikan berita “1,8 juta ton susu program makan bergizi gratis akan diimpor dari vietnam”. judul asli reportase adalah “kementan akan undang investor vietnam penuhi 1,8 juta ton susu sapi program makan bergizi” yang tayang minggu (27/11/2024).
dalam berita lain, yakni dicnnindonesia.com, kementerian pertanian telah membantah tidak ada rencana impor 1,8 juta ton susu untuk menjalankan “program makan bergizi”.
“kebijakan yang diinisiasi oleh kementan adalah mengundang investor asal vietnam untuk membangun industri sapi perah di indonesia dengan tujuan meningkatkan produksi susu nasional, bukan untuk mengimpor produk susu,” kata kepala biro humas dan informasi publik kementan moch arief cahyono, dikutip cnn indonesia, minggu (27/10/2024).",1
“pertemuan prabowo-mega momentum politik baru?”.,"beredarvideo yang memperlihatkan sosok ketua partai demokrasi indonesia perjuangan megawati soekarno putri bertemu dengan presiden ri prabowo subianto. video tersebut diunggah oleh akun tiktok “merahkanindonesia” pada senin (9/9/2024), disertai narasi:
“pertemuan prabowo-mega momentum politik baru?”.
per selasa (12/11/2024), konten tersebut telah disaksikan lebih dari 1.000 pengguna tiktok.
video pertemuan megawati dan prabowo itu bukan terjadi pada 2024, melainkan 2019. setelah ditelusuri melalui mesin pencari google, ditemukan video serupa di kanal youtube kompastv “usai temui megawati, prabowo subianto: ibu mega memenuhi janjinya …” yang tayang juli 2019.",1
"“penangkapan 40 wna ini tidak ada kaitannya dengan hasil pemungutan suara pilpres 2019, tidak ada barang bukti yang ditemukan yang mengarah atau menjurus kepada hasil pemungutan suara pilpres 2019.” ","pihak imigrasi kota semarang mengamankan 40 wna asal taiwan dan china pada hari kamis (18/04/19) disebuah rumah yang berada di kompleks puri anjasmoro, semarang barat.
kapolrestabes semarang kombes pol abioso seno aji mengatakan 40 wna tersebut merupakan pelaku kejahatan penipuan yang menggunakan telepon untuk melakukan aksinya, sasaran korban penipuan adalah wna yang berada di taiwan ataupun china yang memiliki permasalahan hukum. dari 40 wna tersebut 6 diantaranya wanita dan 34 laki-laki dengan usia sekitar 25 sampai 30 tahun. sebelas diantara 40 wna tersebut merupakan dpo (daftar pencarian orang) dari interpol taiwan.
“penangkapan 40 wna ini tidak ada kaitannya dengan hasil pemungutan suara pilpres 2019, tidak ada barang bukti yang ditemukan yang mengarah atau menjurus kepada hasil pemungutan suara pilpres 2019.” ungkap kapolrestabes.",0
"“makroprudensial ini melihatnya secara besar, bukan dilihat berdasarkan
satu per satu kepentingan. kalau ada pemerintah itu punya kepentingan
(tertentu seperti di dki jakarta), itu silakan saja direalisasikan,” ujar
filianingsih, senin (2/7).
“ini sudah terjadi sejak 2012, jadi bukan sekarang,” kata filianingsih,
senin (2/7).","“kami bersyukur bahwa apa yang menjadi inisiatif di jakarta, sekarang juga dilaksanakan di level nasional,” ujar anies, sabtu (30/6).
“alhamdulillah inisiatif yang dki lakukan dapat tanggapan positif dari bi, sudah mengeluarkan peraturan yang merelaksasi,” kata sandi, senin (2/7).
pernyaataan dari kedua pemimpin jakarta ini ini pun mendapatkan respon dari bi. asisten gubernur kepala departemen kebijakan makroprudensial bi, filianingsih hendarta mengatakan kebijakan tersebut adalah untuk kepentingan masyarakat umum yang bertujuan meningkatkan kemampuan daya beli masyarakat terhadap perumahan.
“makroprudensial ini melihatnya secara besar, bukan dilihat berdasarkan satu per satu kepentingan. kalau ada pemerintah itu punya kepentingan (tertentu seperti di dki jakarta), itu silakan saja direalisasikan,” ujar filianingsih, senin (2/7).
filianingsih pun menjelaskan kebijakan loan to value (ltv) sudah dari tahun 2012 silam, ketika bank sentral nasional belum mengatur rasio uang muka kepada bank yang akan memberikan fasilitas kpr kepada nasabah. artinya, kebijakan ini sejatinya sudah ada dari dulu, bukan karena inisiatif anies-sandi.
“ini sudah terjadi sejak 2012, jadi bukan sekarang,” tegas filianingsih.
meski begitu, filianongsih menerangkan dalam menjalankan kebijakan ini, bi sempat mengetatkannya dan melonggarkannya. pada 2012-2014, bi sengaja memberlakukan pengetatan kebijakan makroprudensial dengan memberlakukan kebijakan ltv, karena di rentang periode itu, harga rumah dan kpr meningkat tinggi.
dan mulai 2015-2016, bi kembali melonggarkan kebijakan ltv. “kalau ini booming, kebijakan itu akan kami perketat. tapi ketika belum terlalu tinggi seperti saat ini, itu kami longgarkan,” pungkas filianingsih.",0
