Deskripsi,Judul,Link Berita,Tanggal Terbit
Konten yang beredar merupakan potongan dokumentasi lahar panas gunung berapi di Islandia.,[SALAH] Video “Dahsyatnya Lahar Panas Gunung Lewotobi”,https://turnbackhoax.id/2024/12/08/salah-video-dahsyatnya-lahar-panas-gunung-lewotobi/,"December 8, 2024"
Rekrutmen di instansi tersebut dilakukan melalui seleksi CPNS dan PPPK lewat portal www.sscasn.bkn.go.id.,"[PENIPUAN] Pendaftaran Loker Satpol PP, Damkar, dan Dishub",https://turnbackhoax.id/2024/12/08/penipuan-pendaftaran-loker-satpol-pp-damkar-dan-dishub/,"December 8, 2024"
Informasi yang menyebut laron akan tumbuh menjadi rumput teki itu telah dibantah kebenarannya oleh peneliti BRIN.,[SALAH] Laron Menjadi Rumput Teki Setelah Mati,https://turnbackhoax.id/2024/12/08/salah-laron-menjadi-rumput-teki-setelah-mati/,"December 8, 2024"
"Tautan tidak mengarah ke laman resmi PT Sinar Sosro (sinarsosro.id). Warganet justru diminta mengisi nama lengkap, nomor telepon, NIK, hingga kode OTP Telegram.",[PENIPUAN] Lowongan Kerja PT Sinar Sosro,https://turnbackhoax.id/2024/12/08/penipuan-lowongan-kerja-pt-sinar-sosro/,"December 8, 2024"
Video yang beredar merupakan potongan dokumentasi kejadian puting beliung di Kota Madiun pada akhir Oktober 2024.,[SALAH] Dokumentasi “Puting Beliung Terjang Kota Nganjuk”,https://turnbackhoax.id/2024/12/08/salah-dokumentasi-puting-beliung-terjang-kota-nganjuk/,"December 8, 2024"
Pendaftaran “Petugas Kesehatan Haji” sudah berlangsung pada 7—15 November 2024 melalui daftarin.kemkes.go.id.,[PENIPUAN] Tautan Rekrutmen “Petugas Kesehatan Haji”,https://turnbackhoax.id/2024/12/08/penipuan-tautan-rekrutmen-petugas-kesehatan-haji/,"December 8, 2024"
"Video tersebut merupakan potongan dokumentasi banjir bandang di Dampit, Kota Malang, pada Oktober 2022.",[SALAH] Dokumentasi “Banjir Bandang di Kota Malang 1 Desember 2024”,https://turnbackhoax.id/2024/12/08/salah-dokumentasi-banjir-bandang-di-kota-malang-1-desember-2024/,"December 8, 2024"
Tidak ditemukan informasi dari pemberitaan kredibel yang membenarkan klaim tersebut.,[SALAH] Striker Timnas Jepang Resmi Jadi Amunisi Baru Indonesia,https://turnbackhoax.id/2024/12/08/salah-striker-timnas-jepang-resmi-jadi-amunisi-baru-indonesia/,"December 8, 2024"
Tidak ada informasi resmi dari kanal komunikasi Presiden Prabowo tentang kuis tersebut.,"[PENIPUAN] Prabowo Bikin Kuis Tebak Angka, Hadiah Puluhan Juta",https://turnbackhoax.id/2024/12/08/penipuan-prabowo-bikin-kuis-tebak-angka-hadiah-puluhan-juta/,"December 8, 2024"
Tidak ada keterangan resmi atau pemberitaan kredibel yang membenarkan klaim tersebut.,[SALAH] Apple Mau Investasi ke RI kalau Seluruh Pekerjanya Warga AS,https://turnbackhoax.id/2024/12/07/salah-apple-mau-investasi-ke-ri-kalau-seluruh-pekerjanya-warga-as/,"December 7, 2024"
Tidak ada informasi resmi dari Samsung Indonesia tentang program bagi-bagi ponsel.,Penipuan Ulang Tahun Ke-84 Samsung Bagi-Bagi 800 Ponsel,https://turnbackhoax.id/2024/12/04/penipuan-ulang-tahun-ke-84-samsung-bagi-bagi-800-ponsel/,2024/12/04
Pihak BPJS Kesehatan menegaskan tidak ada bantuan atau program sebagaimana klaim yang beredar.,Salah! Ada Bansos Jutaan Rupiah di Dalam Kartu BPJS Kesehatan dan KIS,https://turnbackhoax.id/2024/12/04/salah-ada-bansos-jutaan-rupiah-di-dalam-kartu-bpjs-kesehatan-dan-kis/,2024/12/04
"Faktanya, konten yang beredar merupakan potongan video tentang pengusaha muda asal Tasikmalaya.",Salah! Kisah Sukses Pemuda Pengangguran Berkat Main Judi Slot,https://turnbackhoax.id/2024/12/04/salah-kisah-sukses-pemuda-pengangguran-berkat-main-judi-slot/,2024/12/04
Tautan yang disebarkan tidak mengarah ke laman resmi PT Sebastian Citra Indonesia (Roti’o). Tidak ada lowongan kerja serupa di akun media sosial resmi Roti’o.,Penipuan Tautan Pendaftaran Loker Rotio,https://turnbackhoax.id/2024/12/03/penipuan-tautan-pendaftaran-loker-rotio/,2024/12/03
