Deskripsi,Judul,Link Berita,Tanggal Terbit,kelas_politik
Faktanya dalam tidak ditemukan informasi valid terkait pengunduran diri Jokowi sebagai Presiden RI. Selain thumbnail merupakan hasil manipulasi.,[SALAH] Presiden Jokowi Akhirnya Nyatakan Mundur di Depan Massa,https://turnbackhoax.id/2024/09/28/salah-presiden-jokowi-akhirnya-nyatakan-mundur-di-depan-massa/,2024/09/28,1
Gambar Anies Baswedan menggunakan kaos yang bertuliskan “ANE YG NYOLONG MAHONI DIMONAS DAN ANE PUNYA HUTANG 92 MILYAR SAMA SANDI UNO”,[SALAH] Anies Baswedan Menggunakan Kaos yang Bertuliskan “ANE YG NYOLONG MAHONI DIMONAS DAN ANE PUNYA HUTANG 92 MILYAR SAMA SANDI UNO”,https://turnbackhoax.id/2024/09/28/salah-anies-baswedan-menggunakan-kaos-yang-bertuliskan-ane-yg-nyolong-mahoni-dimonas-dan-ane-punya-hutang-92-milyar-sama-sandi-uno/,2024/09/28,1
"Narasi yang mengklaim Megawati umumkan Anies Rano maju Pilgub Jakarta merupakan informasi yang tidak benar. Faktanya, Megawati tidak pernah mengeluarkan keterangan",[SALAH] “SAH! Megawati Umumkan Anies – Rano Karno Maju Pilgub Jakarta Hari Ini”,https://turnbackhoax.id/2024/09/28/salah-sah-megawati-umumkan-anies-rano-karno-maju-pilgub-jakarta-hari-ini/,2024/09/28,1
"Video Gibran tidak bisa membedakan takbir dan adzan merupakan hoaks. Faktanya, video asli bukan menampilkan wajah Gibran, hoaks tersebut juga sudah",[SALAH] Gibran Tidak Bisa Bedakan Takbir dan Adzan,https://turnbackhoax.id/2024/09/28/salah-gibran-tidak-bisa-bedakan-takbir-dan-adzan/,2024/09/28,1
"Faktanya dalam video tersebut merupakan momen saat Ronaldo sedang menjadi pembicara di Konferensi Olahraga Internasional Dubai ke-18, saat itu Ronaldo",[SALAH] Video “Moment Ronaldo Sudah Fasih Berbahasa Arab”,https://turnbackhoax.id/2024/09/27/salah-video-moment-ronaldo-sudah-fasih-berbahasa-arab/,2024/09/27,0
Faktanya aparat kepolisian setempat menyebut bahwa belum ada laporan korban dari teror tersebut. Camat Puspahiang dan Kasat Reskrim Polres Tasikmalaya,[BELUM TERBUKTI] Teror Ninja Mengetuk Pintu dan Melukai Penghuni Rumah dengan Senjata Tajam di Tasikmalaya,https://turnbackhoax.id/2024/09/27/belum-terbukti-teror-ninja-mengetuk-pintu-dan-melukai-penghuni-rumah-dengan-senjata-tajam-di-tasikmalaya/,2024/09/27,0
"Video tersebut merupakan hasil buatan AI. Pendeteksian AI melalui Hive Moderation ditemukan hasil sebesar 99,9% bahwa video memiliki probabilitas adalah",[PENIPUAN] Video “Denny Sumargo Pebasket Sombong Berbagi Rezeki Melalui Jos007 Bersama Influencer Lain”,https://turnbackhoax.id/2024/09/27/penipuan-video-denny-sumargo-pebasket-sombong-berbagi-rezeki-melalui-jos007-bersama-influencer-lain/,2024/09/27,0
Kominfosanti buleleng mengklarifikasi bahwa nomor WhatsApp 0856411898120 bukan milik Ketut Suwamarwan. Kategori:Impostor Content Sumber:WhatsApp Narasi:Om swastyastu Penjelasan:Disadur dari akun Instagram,[PENIPUAN] Akun WA Mengatasnamakan Kadis Kominfosanti buleleng Ketut Suwamarwan,https://turnbackhoax.id/2024/09/27/penipuan-akun-wa-mengatasnamakan-kadis-kominfosanti-buleleng-ketut-suwamarwan/,2024/09/27,0
Tidak ditemukan sumber valid yang memberitakan Messi mengomentari laga Indonesia vs Australia. Video yang menampilkan Messi diambil dari video YouTube,[SALAH] Video “Messi Komentar Pedas ke Australia Bahwa Indonesia lah yang Akan Menang”,https://turnbackhoax.id/2024/09/27/salah-video-messi-komentar-pedas-ke-australia-bahwa-indonesia-lah-yang-akan-menang/,2024/09/27,0
Pemeriksa Fakta Mafindo sebelumnya telah membantah klaim tersebut. Peneliti Pusat Riset Biosistematika dan Evolusi BRIN menyebut bahwa foto tersebut dapat,[SALAH] Hasil Foto Alasan Kenapa Burung Elang Difoto dari Samping,https://turnbackhoax.id/2024/09/27/salah-hasil-foto-alasan-kenapa-burung-elang-difoto-dari-samping/,2024/09/27,0
"Informasi menyesatkan. Selain thumbnail merupakan hasil manipulasi, dalam video juga tidak ditemukan pemberitaan terkait Sri Mulyani bongkar korupsi Jokowi kepada",[SALAH] SRI MULYANI BONGKAR KORUPSI JOKOWI KEPADA PRABOWO,https://turnbackhoax.id/2024/09/27/salah-sri-mulyani-bongkar-korupsi-jokowi-kepada-prabowo/,2024/09/27,1
Faktanya tidak ditemukan pemberitaan terkait Ahok bongkar korupsi BUMN. Video tersebut hanya menampilkan cuplikan dari beberapa peristiwa berbeda yang ditambahi,[SALAH] AHOK BONGKAR KORUPSI BUMN,https://turnbackhoax.id/2024/09/27/salah-ahok-bongkar-korupsi-bumn/,2024/09/27,1
"Berdasarkan hasil penelusuran, ditemukan fakta jika Chairul Tanjung sendiri mengatakan jika dirinya tidak memegang media sosial apapun. Oleh karena itu dapat",[PENIPUAN] Chairul Tanjung Kirim Uang 50 Juta Secara Cuma-cuma di Tiktok,https://turnbackhoax.id/2024/09/27/penipuan-chairul-tanjung-kirim-uang-50-juta-secara-cuma-cuma-di-tiktok/,2024/09/27,0
"Isi video tidak memberikan pembahasan sesuai dengan klaim di judul, video hanya membahas tentang unjuk rasa di gedung KPK oleh mahasiswa",[SALAH] Bisnis Gelap Gibran Terungkap,https://turnbackhoax.id/2024/09/27/salah-bisnis-gelap-gibran-terungkap/,2024/09/27,1
"Faktanya, anggapan mengenai minum air es setelah makan dapat menyebabkan kanker adalah persoalan yang keliru. Air es atau air dingin sama",[SALAH] Minum Air Es Setelah Makan Sebabkan Kanker,https://turnbackhoax.id/2024/09/27/salah-minum-air-es-setelah-makan-sebabkan-kanker/,2024/09/27,0
"Faktanya, isu-isu terkait penutupan pabrik Honda di Indonesia tidaklah benar. Penutupan pabrik Honda di Thailand akibat restrukturisasi produksi tersebut tidak berdampak",[SALAH] Honda Tutup Pabrik di Indonesia Tahun Depan,https://turnbackhoax.id/2024/09/27/salah-honda-tutup-pabrik-di-indonesia-tahun-depan/,2024/09/27,0
"Klaim mengenai adanya peredaran beras sintetis di Bukittinggi, Sumatera Barat yang menyebabkan radang tenggorokan, mual dan pusing merupakan informasi tidak valid.","[SALAH] Peredaran Beras Sintetis di Bukittinggi, Ibu Rumah Tangga Alami Radang Tenggorokan",https://turnbackhoax.id/2024/09/27/salah-peredaran-beras-sintetis-di-bukittinggi-ibu-rumah-tangga-alami-radang-tenggorokan/,2024/09/27,0
"Faktanya, tabung gas elpiji memang berisi gas berbentuk cair dan tidak menyemburkan api. Gas elpiji yang mengandung Liquefied Petroleum Gas tersebut","[SALAH] LPG Ukuran 3 KG Bocor Berisikan Air Dingin, Bukan Gas",https://turnbackhoax.id/2024/09/27/salah-lpg-ukuran-3-kg-bocor-berisikan-air-dingin-bukan-gas/,2024/09/27,0
"Faktanya klaim mengenai Prabowo yang tidak ingin pindah dan dilantik di IKN merupakan informasi tidak valid. Menteri Investasi, Bahlil Lahadalia telah",[SALAH]: Prabowo Kurang Berkenan IKN pindah ke Kalimantan,https://turnbackhoax.id/2024/09/27/salah-prabowo-kurang-berkenan-ikn-pindah-ke-kalimantan/,2024/09/27,1
Faktanya penutupan pintu RSUD yang dilakukan THI-Polri bertujuan untuk mengamankan rumah sakit sebab bagian dari objek vital. Aparat TNI dari Batalyon,"[SALAH] TNI dan Polri Usir Pasien di Rumah Sakit Umum Daerah (RSUD) Kabupaten Paniai, Papua",https://turnbackhoax.id/2024/09/27/salah-tni-dan-polri-usir-pasien-di-rumah-sakit-umum-daerah-rsud-kabupaten-paniai-papua/,2024/09/27,1
[SALAH] Video “Dahsyatnya Lahar Panas Gunung Lewotobi”,[SALAH] Video “Dahsyatnya Lahar Panas Gunung Lewotobi”,https://turnbackhoax.id/2024/12/08/salah-video-dahsyatnya-lahar-panas-gunung-lewotobi/,2024/12/08,0
"[PENIPUAN] Pendaftaran Loker Satpol PP, Damkar, dan Dishub","[PENIPUAN] Pendaftaran Loker Satpol PP, Damkar, dan Dishub",https://turnbackhoax.id/2024/12/08/penipuan-pendaftaran-loker-satpol-pp-damkar-dan-dishub/,2024/12/08,0
[SALAH] Laron Menjadi Rumput Teki Setelah Mati,[SALAH] Laron Menjadi Rumput Teki Setelah Mati,https://turnbackhoax.id/2024/12/08/salah-laron-menjadi-rumput-teki-setelah-mati/,2024/12/08,0
[PENIPUAN] Lowongan Kerja PT Sinar Sosro,[PENIPUAN] Lowongan Kerja PT Sinar Sosro,https://turnbackhoax.id/2024/12/08/penipuan-lowongan-kerja-pt-sinar-sosro/,2024/12/08,0
[SALAH] Dokumentasi “Puting Beliung Terjang Kota Nganjuk”,[SALAH] Dokumentasi “Puting Beliung Terjang Kota Nganjuk”,https://turnbackhoax.id/2024/12/08/salah-dokumentasi-puting-beliung-terjang-kota-nganjuk/,2024/12/08,0
[PENIPUAN] Tautan Rekrutmen “Petugas Kesehatan Haji”,[PENIPUAN] Tautan Rekrutmen “Petugas Kesehatan Haji”,https://turnbackhoax.id/2024/12/08/penipuan-tautan-rekrutmen-petugas-kesehatan-haji/,2024/12/08,0
[SALAH] Dokumentasi “Banjir Bandang di Kota Malang 1 Desember 2024”,[SALAH] Dokumentasi “Banjir Bandang di Kota Malang 1 Desember 2024”,https://turnbackhoax.id/2024/12/08/salah-dokumentasi-banjir-bandang-di-kota-malang-1-desember-2024/,2024/12/08,0
[SALAH] Striker Timnas Jepang Resmi Jadi Amunisi Baru Indonesia,[SALAH] Striker Timnas Jepang Resmi Jadi Amunisi Baru Indonesia,https://turnbackhoax.id/2024/12/08/salah-striker-timnas-jepang-resmi-jadi-amunisi-baru-indonesia/,2024/12/08,0
"[PENIPUAN] Prabowo Bikin Kuis Tebak Angka, Hadiah Puluhan Juta","[PENIPUAN] Prabowo Bikin Kuis Tebak Angka, Hadiah Puluhan Juta",https://turnbackhoax.id/2024/12/08/penipuan-prabowo-bikin-kuis-tebak-angka-hadiah-puluhan-juta/,2024/12/08,1
[SALAH] Apple Mau Investasi ke RI kalau Seluruh Pekerjanya Warga AS,[SALAH] Apple Mau Investasi ke RI kalau Seluruh Pekerjanya Warga AS,https://turnbackhoax.id/2024/12/07/salah-apple-mau-investasi-ke-ri-kalau-seluruh-pekerjanya-warga-as/,2024/12/07,0
Faktanya Prabowo mendukung pembangunan proyek IKN dan berkomitmen untuk menyelesaikan pembangunan IKN hingga selesai. Presiden terpilih 2024-2029 juga menganggap IKN adalah,"SALAH Prabowo Lepas Tangan IKN, Serahkan IKN ke Gibran",https://turnbackhoax.id/2024/09/27/salah-prabowo-lepas-tangan-ikn-serahkan-ikn-ke-gibran/,2024/09/27,1
"Konteks yang salah. Video itu adalah kebakaran gudang di Novo Progresso, Brazil, pada 11 Agustus lalu, bukan Israel yang terbakar",SALAH Video Kebakaran di Israel Akibat Rudal dari Hizbullah,https://turnbackhoax.id/2024/09/27/salah-video-kebakaran-di-israel-akibat-rudal-dari-hizbullah/,2024/09/27,1
"MANIPULASI, BUKAN bertuliskan “cucu PKI”. FAKTA: tulisan di foto ASLINYA adalah “Putra Mulyono”. Selengkapnya di bagian PENJELASAN dan REFERENSI. KATEGORI: Konten yang Dimanipulasi. SUMBER:",SALAH Foto Kaesang Mengenakan Rompi Bertuliskan “cucu PKI”,https://turnbackhoax.id/2024/09/27/salah-foto-kaesang-mengenakan-rompi-bertuliskan-cucu-pki/,2024/09/27,0
Faktanya melalui akun Facebook Pajak Kendari menegaskan lowongan tersebut tidak benar dan meminta masyarakat berhati-hati terhadap penipuan mengatasnamakan unit kerja di,PENIPUAN Lowongan Kerja di KP2KP Makale,https://turnbackhoax.id/2024/09/26/penipuan-lowongan-kerja-di-kp2kp-makale/,2024/09/26,0
FAKTANYA: Air rebusan daun sirih tidak aman untuk mata karena tingkat keasamannya dapat merusak kornea dan meningkatkan risiko infeksi seperti keratitis,BELUM TERBUKTI: Air rebusan sirih untuk mengobati mata buram,https://turnbackhoax.id/2024/09/26/belum-terbukti-air-rebusan-sirih-untuk-mengobati-mata-buram/,2024/09/26,0
Bupati Bengkalis Kasmarani menyatakan akun-akun yang mengatasnamakan dirinya adalah modus penipuan dan jangan lupa konfirmasi kebenaran kepada pihak terkait. KATEGORI: IMPOSTOR,PENIPUAN Bupati Kasmarani Bagikan Bantuan Lewat WA,https://turnbackhoax.id/2024/09/26/penipuan-bupati-kasmarani-bagikan-bantuan-lewat-wa/,2024/09/26,1
FAKTANYA: Video yang mengaitkan Sri Mulyani dengan pernyataan tentang obat hipertensi adalah keliru dan merupakan hasil deepfake. Video asli sebenarnya adalah,PENIPUAN: Pengakuan Sri Mulyani tentang obat herbal rekomendasi Dokter Terawan,https://turnbackhoax.id/2024/09/26/penipuan-pengakuan-sri-mulyani-tentang-obat-herbal-rekomendasi-dokter-terawan/,2024/09/26,1
"Konten yang menyesatkan. Alat uji PCR maupun SWAB memang disterilisasi dengan Etilen Oksida sebelum dipasarkan, namun gas EO sudah hilang",SALAH Alat Uji PCR Mengandung Etilen Oksida yang Menyebabkan Kanker,https://turnbackhoax.id/2024/09/26/salah-alat-uji-pcr-mengandung-etilen-oksida-yang-menyebabkan-kanker/,2024/09/26,0
Konten yang dimanipulasi. TV One News tidak pernah mengunggah berita demikian dan PM Timor Leste tidak pernah mengeluarkan pernyataan tersebut.,SALAH TV One News: PM Timor Leste Klaim Suara TOA Di NegaraNya Sangat Berisik dan Akan Dimusnahkan bila tidak bisa diatur volumenya,https://turnbackhoax.id/2024/09/26/salah-tv-one-news-pm-timor-leste-klaim-suara-toa-di-negaranya-sangat-berisik-dan-akan-dimusnahkan-bila-tidak-bisa-diatur-volumenya/,2024/09/26,0
"Konten yang menyesatkan. Foto itu diambil oleh fotografer Israel pada November 2019, bukan pemandangan Pelabuhan Eilat pada 19 Juli 2024.","SALAH Foto Pelabuhan Eilat, Israel pada 19 Juli 2024",https://turnbackhoax.id/2024/09/26/salah-foto-pelabuhan-eilat-israel-pada-19-juli-2024/,2024/09/26,1
Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan ikan berkepala sapi tersebut adalah video yang dibuat dengan manipulasi,SALAH Penemuan Ikan Kecil Berkepala Mirip Sapi,https://turnbackhoax.id/2024/09/26/salah-penemuan-ikan-kecil-berkepala-mirip-sapi/,2024/09/26,0
Video yang memperlihatkan siaran stasiun Metro TV tentang penemuan metode pengobatan mata pakar kesehatan asal Malaysia adalah tidak benar. Video tersebut,PENIPUAN Metro TV Siarkan Dokter Malaysia Temukan Obat Mata,https://turnbackhoax.id/2024/09/26/penipuan-metro-tv-siarkan-dokter-malaysia-temukan-obat-mata/,2024/09/26,0
Faktanya video tersebut diambil di Istana Apostolik Vatikan saat Paus Fransiskus memimpin pertemuan formal para kardinal. = = = Kategori:,SALAH Video Bapak Paus Fransiskus berkunjung ke Kedutaan Besar Takhta Vatikan,https://turnbackhoax.id/2024/09/26/salah-video-bapak-paus-fransiskus-berkunjung-ke-kedutaan-besar-takhta-vatikan/,2024/09/26,0
Faktanya video tersebut merupakan momen saat perayaan Natal Tiberias 2023 di GBK yang diadakan oleh Gereja Tiberias Indonesia (GTI). GTI,SALAH Video Misa Umat Katolik Bersama Bapak Paus Fransiskus di GBK,https://turnbackhoax.id/2024/09/26/salah-video-misa-umat-katolik-bersama-bapak-paus-fransiskus-di-gbk/,2024/09/26,0
"Klaim biopsi untuk mengatasi tumor, dianggap malah berbahaya karena dapat mendorong kanker tumbuh sangat cepat adalah tidak benar. Biopsi bisa",SALAH Biopsi Tumor Menyebabkan Kanker Tumbuh Cepat,https://turnbackhoax.id/2024/09/26/salah-biopsi-tumor-menyebabkan-kanker-tumbuh-cepat/,2024/09/26,0
"Konten yang menyesatkan. Video aslinya dibuat oleh pembuat konten Vietnam, yang merupakan video tutorial membuat UFO, bukan seorang pria yang",SALAH Video Seorang Pria Menemukan UFO di Sungai Citarum,https://turnbackhoax.id/2024/09/26/salah-video-seorang-pria-menemukan-ufo-di-sungai-citarum/,2024/09/26,0
"Faktanya frekuensi sinyal 5G tidak akan mengaktifkan nanopartikel yang diklaim terkandung dalam vaksin. Dalam sebuah vaksin mengandung bahan antigen, pengawet,",SALAH Peningkatan Frekuensi 5G Mengaktifkan Nanopartikel dalam Tubuh yang Sebabkan Cacar Monyet Bagi yang Sudah Vaksin,https://turnbackhoax.id/2024/09/26/salah-peningkatan-frekuensi-5g-mengaktifkan-nanopartikel-dalam-tubuh-yang-sebabkan-cacar-monyet-bagi-yang-sudah-vaksin/,2024/09/26,0
