Title,Excerpt,FullText,Tags,URL
[SALAH] Kandungan Pasta Gigi Bisa Diketahui dari Kode Warna,"Faktanya, warna tersebut adalah penanda atau “eye mark” peka sensor cahaya untuk keperluan pengemasan produk.","Faktanya, warna tersebut adalah penanda atau “eye mark” peka sensor cahaya untuk keperluan pengemasan produk. 
Unggahan berisi narasi “kandungan pasta gigi bisa diketahui dari kode warna” merupakan konten yang menyesatkan (misleading content).


Akun Facebook “James Bon” mengunggah video [arsip] pada Rabu (22/9/2024)  disertai narasi:

Arti Tanda Warna pada Pasta Gigi atau odol. Jangan salah pilih pasta gigi. Inilah arti dari warna odol Yang beredar bebas di pakai Oleh masyarakat kita, yang Harus kalian ketahui supaya Tidak bahaya untuk kesehatan



Per Senin (25/11/2024) video itu sudah menuai lebih dari 400 kali tayangan.
Pemeriksaan Fakta
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) sebelumnya sudah mengusut kebenaran klaim serupa lewat artikel “[SALAH] Mengetahui Kandungan Pasta Gigi dari Kode Warna” yang tayang Juli 2018.
Dilansir dari hellosehat.com, kotak warna pada tube tidak ada kaitannya dengan isi pasta gigi. Kotak warna merupakan “color mark” atau “eye mark” peka sensor cahaya yang menunjukkan apakah kemasan harus dilipat atau dipotong saat diproses di mesin produksi.
Kesimpulan
Unggahan berisi narasi “kandungan pasta gigi bisa diketahui dari kode warna” merupakan konten yang menyesatkan (misleading content).
(Ditulis oleh Yudho Ardi)
 1 2",No Tags,https://turnbackhoax.id/2024/11/25/salah-kandungan-pasta-gigi-bisa-diketahui-dari-kode-warna/
[SALAH] Yaman Bombardir Kapal Perang AS Pakai Drone dan Rudal,"Faktanya, foto kapal dalam klaim merupakan Kapal Sounion berbendera Yunani yang diserang pemberontak Houthi.","Faktanya, foto kapal dalam klaim merupakan Kapal Sounion berbendera Yunani yang diserang pemberontak Houthi. 
Unggahan berisi narasi “Yaman bombardir kapal perang AS pakai drone dan rudal” merupakan konten dengan konteks yang salah (false context).


Akun X “muhsinlabib” pada Rabu (13/11/2024) mengunggah foto [arsip] berupa tangkapan layar disertai cuitan:

Yaman goreng kapal induk Abraham Lincoln dengan puluhan jet tempur canggih ASU.
Jangan berurusan dengan orang-orang miskin!


Per Senin (25/11/2024) unggahan sudah menuai lebih dari 200 ribu tayangan dan dibagikan ulang hampir 400 kali.
Pemeriksaan Fakta
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pertama-tama menelusuri kebenaran klaim dengan memasukkan foto unggahan ke Google Lens. Hasilnya, foto serupa ditemukan di pemberitaan voaindonesia.com berjudul AS: Kapal Tanker Minyak yang Ditabrak Houthi Berpotensi Tumpahkan ‘Jutaan Barel’.
Faktanya, dilansir dari berita yang tayang Minggu (25/8/2024) tersebut, kapal dalam foto merupakan Kapal Sounion berbendera Yunani yang diserang pemberontak Houthi. Kapal sepanjang 274 meter itu berangkat dari Irak dan sedang dalam perjalanan menuju pelabuhan dekat Athena, membawa muatan 150.000 ton minyak mentah.
Kesimpulan
Unggahan berisi narasi “Yaman bombardir kapal perang AS pakai drone dan rudal” merupakan konten dengan konteks yang salah (false context).
(Ditulis oleh Yudho Ardi)
 1 2",No Tags,https://turnbackhoax.id/2024/11/25/salah-yaman-bombardir-kapal-perang-as-pakai-drone-dan-rudal/
[PENIPUAN] Gebyar Hadiah Ratusan Juta dari Tolak Angin (PT Sido Muncul Tbk.),"Faktanya, hadiah yang ditawarkan perusahaan hanya Rp26 juta, program undian juga sudah berakhir sejak awal Oktober 2024.","Faktanya, hadiah yang ditawarkan perusahaan hanya Rp26 juta, program undian juga sudah berakhir sejak awal Oktober 2024.
Unggahan berisi informasi “Gebyar Hadiah Ratusan Juta dari Tolak Angin (PT Sido Muncul Tbk.)” merupakan konten tiruan (impostor content) untuk modus penipuan.


Akun Facebook “PT Industri Jamu Sido Muncul Tbk” pada Senin (18/11/2024) mengunggah foto [arsip] berisi pengumuman gebyar hadiah senilai ratusan juta yang diadakan Tolak Angin.
Unggahan disertai narasi:

“𝑹𝒂𝒊𝒉 𝒌𝒆𝒃𝒆𝒓𝒖𝒏𝒕𝒖𝒏𝒈𝒂𝒏 𝒃𝒆𝒓𝒔𝒂𝒎𝒂 𝑻𝒐𝒍𝒂𝒌 𝑨𝒏𝒈𝒊𝒏! 𝑰𝒌𝒖𝒕𝒊 𝒖𝒏𝒅𝒊𝒂𝒏 𝒃𝒆𝒓𝒉𝒂𝒅𝒊𝒂𝒉 𝒅𝒂𝒓𝒊 𝑷𝑻 𝑱𝒂𝒎𝒖 𝒅𝒂𝒏 𝑭𝒂𝒓𝒎𝒂𝒔𝒊 𝑺𝒊𝒅𝒐 𝑴𝒖𝒏𝒄𝒖𝒍 𝑻𝒃𝒌. 𝒅𝒂𝒏 𝒎𝒆𝒏𝒂𝒏𝒈𝒌𝒂𝒏 𝒉𝒂𝒅𝒊𝒂𝒉 𝒎𝒆𝒏𝒂𝒓𝒊𝒌 𝒔𝒆𝒕𝒊𝒂𝒑 𝒃𝒖𝒍𝒂𝒏𝒏𝒚𝒂. 𝑲𝒐𝒅𝒆 𝒌𝒖𝒑𝒐𝒏 𝒚𝒂𝒏𝒈 𝒌𝒂𝒎𝒖 𝒎𝒊𝒍𝒊𝒌𝒊 𝒂𝒅𝒂𝒍𝒂𝒉 𝒍𝒂𝒏𝒈𝒌𝒂𝒉 𝒍𝒆𝒃𝒊𝒉 𝒅𝒆𝒌𝒂𝒕 𝒎𝒆𝒏𝒖𝒋𝒖 𝒌𝒆𝒋𝒖𝒕𝒂𝒏 𝒍𝒖𝒂𝒓 𝒃𝒊𝒂𝒔𝒂! 
𝑱𝒂𝒏𝒈𝒂𝒏 𝒍𝒆𝒘𝒂𝒕𝒌𝒂𝒏 𝒌𝒆𝒔𝒆𝒎𝒑𝒂𝒕𝒂𝒏 𝒊𝒏𝒊. 𝒔𝒆𝒉𝒂𝒕 𝒅𝒂𝒏 𝒃𝒆𝒓𝒖𝒏𝒕𝒖𝒏𝒈 𝒃𝒊𝒔𝒂 𝒎𝒆𝒏𝒋𝒂𝒅𝒊 𝒎𝒊𝒍𝒊𝒌𝒎𝒖!
𝑫𝒂𝒇𝒕𝒂𝒓 𝒔𝒆𝒌𝒂𝒓𝒂𝒏𝒈 𝒋𝒖𝒈𝒂 𝒅𝒊𝒃𝒂𝒘𝒂𝒉 𝒊𝒏𝒊 𝒅𝒂𝒏 𝒅𝒂𝒑𝒂𝒕𝒌𝒂𝒏 𝒌𝒐𝒅𝒆 𝒖𝒏𝒅𝒊𝒂𝒏 𝒌𝒂𝒎𝒖”



Hingga Minggu (20/11/2024), unggahan menuai hampir 200 tanda suka dan lebih dari 170 komentar, mayoritasnya berharap mendapatkan undian tersebut.
Pemeriksaan Fakta
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri sumber foto unggahan lewat Google Lens. Diketahui, foto dalam unggahan merupakan hasil suntingan dari konten di akun Instagram resmi “tolak_angin” yang diunggah Selasa (20/8/2024).
Faktanya, hadiah yang ditawarkan perusahaan hanya Rp26 juta, program undian juga sudah berakhir sejak awal Oktober 2024. Tautan dalam akun Facebook “PT Industri Jamu Sido Muncul Tbk” pun tidak mengarah ke laman resmi PT Sido Muncul, warganet justru diminta melengkapi informasi pribadi.
Kesimpulan
Unggahan berisi informasi “Gebyar Hadiah Ratusan Juta dari Tolak Angin (PT Sido Muncul Tbk.)” merupakan konten tiruan (impostor content) untuk modus penipuan.
(Ditulis oleh Vania Astagina)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/penipuan-gebyar-hadiah-ratusan-juta-dari-tolak-angin-pt-sido-muncul-tbk/
[SALAH] Siswa SMP Aniaya Teman hingga Tewas,"Faktanya, korban kekerasan masih bernyawa dan hanya pingsan saat kejadian.","Faktanya, korban kekerasan masih bernyawa dan hanya pingsan saat kejadian.
Unggahan berisi informasi “siswa SMP aniaya teman hingga meninggal” merupakan konten dengan konteks yang salah (false context).


Akun X “haiimatcha_” pada Selasa (19/11/2024) mengunggah video [arsip] dokumentasi kekerasan yang dilakukan oleh siswa SMP, disertai narasi:

“Siswa brutal di SMP, menganiaya temannya hingga meninggal
Harus dihukum penjara agar menjadi pelajaran bagi para anak dan orang tua yang tidak bisa mendidik anaknya.
Ngeri banget liat videonya”



Hingga Minggu (20/11/2024), unggahan telah ditonton hampir 700 ribu kali, disukai 3.900-an penggguna X, sertai dibanjiri 1.000-an komentar.
Pemeriksaan Fakta
Dari hasil penelusuran Tim Pemeriksa Fakta Mafindo (TurnBackHoax) lewat Google Lens, ditemukan video serupa yang diunggah akun X “bacottetangga__” pada Rabu (29/8/2024). Akun tersebut mencuitkan kekerasan itu terjadi di SMP Negeri 3 Gowa, Sulawesi Selatan, dan korban tidak sadarkan diri setelah pemukulan.
Humas Polres Gowa Ipda Udin dalam pemberitaan Jumat (30/8/2024) menyatakan peristiwa kekerasan itu telah diselesaikan secara kekeluargaan dan memastikan adanya pendampingan psikologi untuk korban.
Kesimpulan
Unggahan berisi informasi “siswa SMP aniaya teman hingga meninggal” merupakan konten dengan konteks yang salah (false context).
(Ditulis oleh Vania Astagina)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/salah-siswa-smp-aniaya-teman-hingga-tewas/
[SALAH] Prabowo Bakal Blokir TikTok Shop Lagi karena Bikin Rugi UMKM,Tidak ditemukan pernyataan resmi dari Prabowo atau pemberitaan media kredibel yang membenarkan klaim,"Tidak ditemukan pernyataan resmi dari Prabowo atau pemberitaan media kredibel yang membenarkan klaim.
Unggahan berisi narasi “Prabowo akan kembali blokir TikTok karena merugikan UMKM” adalah konten yang menyesatkan (misleading content). 


Akun TikTok “egi.pixx” pada Sabtu (10/11/2024) mengunggah foto [arsip] berisi klaim “Prabowo akan kembali memblokir Tiktok karena merugikan UMKM”. Berikut narasi lengkapnya:

“Tiktok shop akan di blokir kembali. Prabowo turun tangan tiktok shop sesungguhnya membunuh UMKM di Indonesia”



Hingga Minggu (24/11/2024) unggahan telah disukai lebih dari 18 ribu akun lainnya, dibanjiri sekitar 6.000-an komentar, dan dibagikan ulang 1.400 kali.
Pemeriksaan Fakta
Dari hasil penelusuran Tim Pemeriksa Fakta Mafindo (TurnBackHoax) melalui fitur pencarian Google dengan kata kunci “Prabowo Blokir Tiktok”, tidak ditemukan satu pun media kredibel yang membenarkan klaim.
Melansir laporan Kompas.com yang tayang September 2023. larangan mengenai TikTok Shop sebagai media sosial yang memiliki fitur e-commerce, sejatinya pernah dilakukan. Kebijakan itu diterapkan di masa pemerintahan Jokowi, mengacu ke revisi Peraturan Mendag (Permendag) Nomor 50 Tahun 2020 yang menyebutkan media sosial tidak boleh digunakan sebagai e-commerce.
Kesimpulan
Unggahan berisi narasi “Prabowo akan kembali blokir TikTok karena merugikan UMKM” adalah konten yang menyesatkan (misleading content). 
(Ditulis oleh Vinanda Febriani)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/salah-prabowo-bakal-blokir-tiktok-shop-lagi-karena-bikin-rugi-umkm/
[PENIPUAN] Dinas Perhubungan Buka Loker Petugas Operasional Bus,Tidak terdapat informasi mengenai loker petugas operasional bus di laman resmi dephub.go.id maupun di pemberitaan media kredibel.,"Tidak terdapat informasi mengenai loker petugas operasional bus di laman resmi dephub.go.id maupun di pemberitaan media kredibel.
Informasi berisi foto dengan klaim “loker Dishub sebagai petugas operasional bus” itu merupakan konten palsu (fabricated content).


Akun TikTok “loker_terbaik_bumn” pada Sabtu (1/10/2024) mengunggah foto [arsip] berisi informasi mengenai lowongan kerja (loker) petugas operasional bus Dinas Perhubungan (Dishub).
Berikut informasi lengkapnya: 

“Open Recruitment dari Dinas PerhubunganPETUGAS OPERASIONAL BUSPendidikan SMA SMK D3 S1
Open Recruitment dari Dinas Perhubungan PETUGAS OPERASIONAL BUS Pendidikan SMA SMK D3 S1
Posisi:a. PETUGAS ADMINISTRASI KANTORb. PETUGAS ADMINISTRASI KASIRC. PENGAWAS PERJALANAN ANGKUTANd. PETUGAS TIMERe. PETUGAS PRAMUGARA-PRAMUGARIf. PENGAWAS KEBERSIHANg. PETUGAS KEBERSIHAN
Kualifikasi:Kualifikasi lengkap kunjung link dibawahWarga Negara Republik IndonesiaUsia maksimal 35 tahunPria/Wanita.Pendidikan SMA SMK D3 S1 dari berbagai jurusanMampu bekerja dengan teliti, rapi, detail, dan taat pada prosedurTidak terlibat dalam tindakan pidana yang dibuktikan dengan surat SKCK yang masih berlaku.”



Pengunggah mengajak warganet mengunjungi tautan untuk mengetahui informasi lebih lanjut.
Hingga Minggu (24/11/2024) unggahan telah menuai lebih dari 13 ribu tanda suka, 470-an komentar, dibagikan ulang lebih dari 3.500 kali.
Pemeriksaan Fakta
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran informasi dengan mengakses tautan dalam unggahan. Hasilnya, calon pelamar diarahkan ke laman berisi permintaan pengisian data berupa nama yang sesuai KTP dan nomor telepon untuk mendapatkan OTP melalui SMS.
TurnBackHoax kemudian melakukan verifikasi informasi lewat laman resmi dephub.go.id. Faktanya, tidak terdapat informasi mengenai loker petugas operasional bus sebagaimana disebutkan dalam klaim.
Kesimpulan
Informasi berisi foto dengan klaim “loker Dishub sebagai petugas operasional bus” itu merupakan konten palsu (fabricated content).
(Ditulis oleh Vinanda Febriani)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/penipuan-dinas-perhubungan-buka-loker-petugas-operasional-bus/
[SALAH] 01 Mata Uang BRICS Setara 3.66000 Rupiah,"Faktanya, mata uang BRICS masih dalam pengembangan dan belum diluncurkan.","Faktanya, mata uang BRICS masih dalam pengembangan dan belum diluncurkan.
Unggahan berisi narasi “01 mata uang BRICS setara 3.66000 rupiah” merupakan konten yang menyesatkan (misleading content).


Sejak Minggu (27/10/2024) beredar video [arsip] dari akun TikTok “uungsahuri2”, isinya mengeklaim “01 mata uang BRICS setara dengan 3.66000 rupiah”. Berikut narasi lengkapnya:

“kita rayakan dan suport untuk mata uang global dari DOLAR ke BRICK menjadi mata uang dunia saat ini. 01  BRICS – 3.66000 Rupiah. hapus DOLAR dari dunia agar setabil. #thanks#futin satu brics jika dalam rupiah indonesia sangat pantastis artinya kita tidak akan di tekan oleh erofa global.. ini berlanjut kesetaraan”


Hingga Minggu (24/11/2024), unggahan telah disukai sekitar 18 ribu pengguna TikTok dan dibagikan ulang lebih dari 1.300 kali.
Pemeriksaan Fakta
Pemeriksa Fakta Mafindo (TurnBackHoax) mencari tahu informasi mengenai mata uang BRICS melalui kolom pencarian Google dengan kata kunci “Mata Uang BRICS”. Hasilnya, ditemukan pemberitaan antaranews.com “Apa itu mata uang BRICS dan tujuannya?”. 
Dari berita tersebut, diketahui bahwa negara blok ekonomi BRICS (Brasil, Rusia, India, China, dan Afrika Selatan) berencana membuat mata uang cadangan baru untuk mengurangi dominansi dolar Amerika Serikat (AS) dalam perdagangan internasional. Namun, hingga kini mata uang BRICS masih dalam pengembangan dan belum ada pengumuman resmi tentang peluncurannya.
Sebelumnya, TurnBackHoax telah membongkar kebenaran beragam klaim seputar BRICS, beberapa di antaranya diulas dalam artikel:

[SALAH] Mata Uang BRICS Sudah Rilis, Ada Gambar Bendera Indonesia
[SALAH] 159 Negara Bakal Adopsi Sistem Pembayaran BRICS

Kesimpulan
Unggahan berisi narasi “01 mata uang BRICS setara 3.66000 rupiah” merupakan konten yang menyesatkan (misleading content).
(Ditulis oleh Moch. Marcellodiansyah)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/salah-01-mata-uang-brics-setara-3-66000-rupiah/
[SALAH] Dana Hibah Pandemi dan UU Kesehatan Omnibus Law Berkaitan dengan Rekayasa Pandemi Selanjutnya,Tidak ditemukan informasi resmi yang membenarkan klaim.,"Tidak ditemukan informasi resmi yang membenarkan klaim.
Klaim “dana hibah pandemi dan UU Kesehatan Omnibus Law berkaitan dengan rekayasa pandemi selanjutnya atau plandemic” merupakan konten yang menyesatkan (misleading content).


Sebuah video [arsip] Instagram yang dibagikan akun “truth_seeker_jakartaa” mengumumkan informasi mengenai dana pandemi yang diterima oleh pemerintah dari Dewan Pengelola Dana Pandemi (Pandemic Fund).
Narasi dalam unggahan menyebut penerimaan dana dan  UU Kesehatan Omnibus Law yang disahkan Agustus 2023 lalu merupakan bagian dari rekayasa pandemi selanjutnya (plandemic).
Berikut merupakan narasi lengkapnya:

“Warning!!!! (27 Okt 2024) Indonesia akan menerima Dana Hibah Sebesar 24,9Juta Dollar (387Miliar) untuk penguatan respons pandemic termasuk peenguatan pengawasan penyakit Dan peringatan dini. Program pendanaan ini akkan berlangsung dalam 3 tahun dengan World Bank, WHO, Dan FAO. Apakah Next plandemic jilid 2 sdh dipersiapkan oleh Elit Global & Elit lokal Indonesia? dalam rekayasa kehidupan Pemaksaan melalui UU kesehatan Omnibus Law no.17/2023 Dokter Kary Mullis Sebelum meninggal berpesan untuk menghentikan Pandemic maka hentikan pendanaanya. Semoga Next Pandemic tidak akan pernah terjadi kembali. Pahlawan Kemanusiaan Dr. Kary Mullis Dr. Rashid A Buttar”


Hingga Minggu (24/11/2024), konten disukai hampir 350 pengguna dan dihujani sekitar 40-an komentar, rata-rata percaya terhadap informasi yang termuat dalam unggahan,
Pemeriksaan Fakta
Disadur dari artikel Cek Fakta Tempo.co.
Dana hibah “Pandemic Fund” justru bertujuan memperkuat layanan kesehatan agar negara-negara berkembang menjadi jauh lebih tangguh, khususnya jika pandemi terjadi di masa akan datang.
Pandemic Fund merupakan mekanisme pembiayaan multilateral yang diluncurkan pada November 2022 dalam Presidensi G20 Indonesia. Dewan Pengelola Dana Pandemic Fund menyetujui hibah putaran kedua senilai US$418 juta untuk 40 negara di enam wilayah geografis, termasuk Indonesia. Pemberian hibah ini diputuskan dalam pertemuan Dewan Pandemic Fund ke-14 yang berlangsung di Washington, D.C., Amerika Serikat pada Kamis (17/10/2024).
Menteri Kesehatan melalui fiskal.kemenkeu.go.id menyampaikan dana pandemi akan digunakan untuk menunjukkan peran Indonesia sebagai donor dan penerima manfaat, guna memperkuat kapasitas nasional, regional, dan global dalam kesiapsiagaan serta respons terhadap krisis kesehatan di masa depan.
UU Kesehatan Omnibus Law yang disahkan tahun lalu pun dirancang untuk mengatasi tantangan penyelarasan dan koordinasi dalam pencegahan serta penanggulangan wabah penyakit menular secara nasional. Pernyataan ini menegaskan penerimaan dana serta UU Kesehatan tidak berkaitan dengan plandemic dan tentunya tidak membahayakan masyarakat dan negara.
Kesimpulan
Klaim “dana hibah pandemi dan UU Kesehatan Omnibus Law berkaitan dengan rekayasa pandemi selanjutnya atau plandemic” merupakan konten yang menyesatkan (misleading content).
(Ditulis oleh Moch. Marcellodiansyah)
 1 2",No Tags,https://turnbackhoax.id/2024/11/24/salah-dana-hibah-pandemi-dan-uu-kesehatan-omnibus-law-berkaitan-dengan-rekayasa-pandemi-selanjutnya/
[PENIPUAN] Penawaran Paylater BCA dari Tautan Tidak Resmi,Tautan pendaftaran mengarah ke laman berisi formulir yang meminta sejumlah data pribadi.,"Tautan pendaftaran mengarah ke laman berisi formulir yang meminta sejumlah data pribadi.
Foto yang disertai narasi  “penawaran layanan PayLater BCA” dengan tautan tak resmi itu merupakan konten tiruan (impostor content) untuk modus penipuan.


Akun Facebook “BCAPaylater” pada Kamis (14/11/2024) membagikan foto [arsip] berisi informasi penawaran layanan PayLater BCA.
Berikut narasi lengkapnya:

“Ajukan sekarang Paylater BCA Merupakan fasilitas kredit yang dapat digunakan sebagai alternatif pembayaran. Limit kredit hingga Rp 20 juta dengan tenor cicilan sesuai kebutuhan. Bebas biaya admin. Bisa bayar scan QRIS. 
Di pastikan saldo aktif di rekening 1 juta agar: pengajuan dapat di ACC!” 


Pengunggah mencantumkan tautan https://layanan-aktivasi-paylater-id.my.id/ dan mengajak warganet mengaksesnya untuk mendapatkan layanan.
Hingga Jumat (22/11/2024) unggahan disukai oleh hampir 150 akun lainnya.
Pemeriksaan Fakta
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri tautan dalam unggahan. Diketahui, tautan pendaftaran tersebut tidak mengarah ke laman resmi Bank BCA, melainkan ke formulir pendaftaran yang meminta sejumlah data pribadi, seperti:

nomor kontak, 
nama lengkap, 
nomor kartu debit, hingga
nominal saldo rekening tabungan terakhir.

Akun Facebook yang mengunggah klaim pun bukan akun resmi BCA (Facebook “Bank BCA” dan “ GoodLife BCA” yang bercentang biru).
Kesimpulan
Foto yang disertai narasi  “penawaran layanan PayLater BCA” dengan tautan tak resmi itu merupakan konten tiruan (impostor content) untuk modus penipuan.
(Ditulis oleh Raymondha Elsha)
 1 2",No Tags,https://turnbackhoax.id/2024/11/23/penipuan-penawaran-paylater-bca-dari-tautan-tidak-resmi/
"[SALAH] Pose 3 Jari, Ridwan Kamil Dukung Pasangan Pram-Doel","Faktanya, pose jari tangan RK bukan untuk menunjukkan angka 3, tetapi gestur angka nol dengan menyatukan ibu jari dan telunjuk.","Faktanya, pose jari tangan RK bukan untuk menunjukkan angka 3, tetapi gestur angka nol dengan menyatukan ibu jari dan telunjuk. 
Unggahan berisi klaim “pose 3 Jari, Ridwan Kamil dukung pasangan Pram-Doel” itu bukan konteks dukungan Pilkada, masuk ke dalam kategori konten parodi.


Akun TikTok “pujanggajakarta” mengunggah foto [arsip] pada Kamis, (7/9/2024) yang menampilkan sosok Ridwan Kamil (RK) tengah memberikan simbol 3 jari. Unggahan disertai klaim yang menyebut RK memberi dukungan ke Pramono-Doel (pasangan calon gubernur dan calon wakil gubernur Pilkada Jakarta).



Sampai Jumat (22/11/2024) unggahan telah ditonton lebih dari 3.800 kali dan disukai 100-an akun lainnya.
Pemeriksaan Fakta
Setelah ditelusuri menggunakan Google Lens, foto yang ditampilkan merupakan tangkapan layar dari siniar “RIDWAN KAMIL‼️TERNYATA MAJUKAN UMKM DAN JADIKAN JAKARTA KOTA BISNIS, ITU CUMA GIMMICK?” yang tayang di kanal YouTube “kasisolusi”.
Dalam siniar yang tayang Oktober 2024 itu, diketahui konteks pose jari tangan RK bukan untuk menunjukkan angka 3, tetapi gestur angka nol dengan menyatukan ibu jari dan telunjuk. 
Kesimpulan
Unggahan berisi klaim “pose 3 Jari, Ridwan Kamil dukung pasangan Pram-Doel” itu bukan konteks dukungan Pilkada, masuk ke dalam kategori konten parodi.
 1 2",No Tags,https://turnbackhoax.id/2024/11/23/salah-pose-3-jari-ridwan-kamil-dukung-pasangan-pram-doel/
